benchmark,dataset,train_size,subset,method,n_seeds,seeds,rmse_mean,mean_crps_mean,coverage_90_mean,mean_width_90_mean,coverage_95_mean,mean_width_95_mean,wall_sec_mean,rmse_std,mean_crps_std,coverage_90_std,mean_width_90_std,coverage_95_std,mean_width_95_std,wall_sec_std,source,split_type,standardize_x,standardize_y,n,source_artifact
,Appliances Energy Prediction,200,all,lmjgp_transductive_residual_ridge,5,,103.8924443362296,48.38452911376953,0.783,158.16789743103197,0.833,188.46867429158425,86.92324742000783,7.259161734243015,4.977190017891626,0.027129319932501065,16.427191782296056,0.0188679622641132,19.574206320172777,1.5827497754034483,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Appliances Energy Prediction,200,all,lmjgp_supervised,5,,106.93829574060601,44.978877258300784,0.8320000000000001,162.80112574499609,0.861,193.9895063454073,220.37647207999834,9.649661960957989,4.875791861221975,0.027676705006196078,18.865649426360832,0.02059126028197402,22.479807816794185,7.812770333933474,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Appliances Energy Prediction,200,all,lmjgp_supervised_residual_ridge,5,,102.98099336476318,47.66483612060547,0.783,162.74984106817863,0.828,193.92839688382728,86.01245914000319,5.666515819505077,4.581814431439818,0.031717503054307414,13.77175109233256,0.024819347291981694,16.410053577258704,1.6294642305010432,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Wine Quality,500,all,xgb_bootstrap,5,,0.7201957579877588,0.41994212865829467,0.6519999999999999,1.2645553857246086,0.738,1.5068106802122831,9.372351360006723,0.01821881654116885,0.007743514766942765,0.025806975801127903,0.023013335917892414,0.022934689882359447,0.027422081104437532,4.767178149541923,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Wine Quality,500,all,dkl_svgp,5,,0.8516540987075192,0.5979931592941284,0.22400000000000003,0.48607117857743914,0.272,0.5791895329315067,1.6657238000014332,0.0640678986153277,0.0491776958132785,0.02922327839240491,0.021205471492755427,0.03009983388658482,0.02526787777342916,0.5241044327294551,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Wine Quality,500,all,lmjgp_transductive,5,,0.7401003544579923,0.4157945394515991,0.844,2.0718484509163497,0.8859999999999999,2.468759699151608,75.59788838000387,0.03071035166407202,0.01997477167517319,0.03104834939252004,0.059402360625064175,0.027820855486487137,0.07078227844356463,36.66060439545828,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Wine Quality,500,all,lmjgp_transductive_residual_ridge,5,,0.7464913548853952,0.41796172261238096,0.8089999999999999,1.9311279349490271,0.865,2.3010808621641368,74.55695178000606,0.026638976365561583,0.014755467218994482,0.020346989949375775,0.03776811624885945,0.02408318915758461,0.04500348626697003,35.140247499250926,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Wine Quality,500,all,lmjgp_supervised,5,,0.7560767937006219,0.4227560579776764,0.827,2.0564473250191537,0.889,2.4504081257439383,71.89318038001075,0.029346669660267322,0.021136976909662077,0.03586084215408221,0.07231750379263342,0.02956349099818899,0.08617162072232347,32.61127341618748,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Wine Quality,500,all,lmjgp_supervised_residual_ridge,5,,0.736612488813131,0.4162395536899567,0.8019999999999999,1.930706528344757,0.86,2.300578725223996,81.18020053999498,0.02639251692400916,0.016850636157998335,0.02561249694973138,0.04175393235845313,0.014142135623730963,0.04975287909791879,35.781238116519354,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Parkinsons Telemonitoring,500,all,xgb_bootstrap,5,,9.532710521114138,7.0371496200561525,0.246,7.866231046083276,0.288,9.37319241771591,8.980325419997097,0.7271357670060977,0.6295335006907614,0.07045565981523413,0.34188730525734573,0.06546754921333163,0.4073838511197921,4.450396325530038,baseline,subject_grouped,false,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Parkinsons Telemonitoring,500,all,dkl_svgp,5,,7.860154359214684,4.934474849700928,0.65,15.266830753996231,0.6990000000000001,18.191550874565383,1.3731260800093879,1.030496153030649,0.8856780885384031,0.13939153489362255,0.7179994676838674,0.1385063175454463,0.8555491349023425,0.45711513651121594,baseline,subject_grouped,false,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Parkinsons Telemonitoring,500,all,lmjgp_transductive,5,,8.936601837130707,5.513485240936279,0.703,20.98992358161852,0.776,25.011036595680014,71.42321232000832,1.0100052437722153,0.8133802245166918,0.10810180387024076,1.9052771005921134,0.09366963221877195,2.2702776931285014,3.1583842701339573,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train500_5seeds
,Parkinsons Telemonitoring,500,all,lmjgp_transductive_residual_ridge,5,,9.436766888241587,5.90661392211914,0.642,19.9437805404799,0.716,23.76448027619215,70.49903474000749,0.7455280218511456,0.737552766129861,0.11630133275246674,1.7676620970658203,0.10150862032359616,2.1062993024532304,2.848794203232471,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train500_5seeds
,Parkinsons Telemonitoring,500,all,lmjgp_supervised,5,,9.130389824767835,5.712836456298828,0.6559999999999999,20.445321049960818,0.738,24.362102653809018,66.5082371199911,0.9985141352582917,0.8774266723098569,0.12399193522161028,2.154766004329052,0.11378049041905204,2.5675620580437304,1.399131146869458,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train500_5seeds
,Parkinsons Telemonitoring,500,all,lmjgp_supervised_residual_ridge,5,,9.332439635099064,5.792859077453613,0.65,20.39798231341114,0.744,24.305695070063738,67.43341017999919,0.9019733703561548,0.7985625588315252,0.12786711852544422,2.077989223186613,0.09794896630388705,2.4760768806258566,1.9549309951020784,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train500_5seeds
,Appliances Energy Prediction,500,all,xgb_bootstrap,5,,98.47739760927662,43.36564178466797,0.8800000000000001,176.07322101155427,0.913,209.80418328419978,7.290394479990937,9.59079837691428,4.692270826207292,0.022135943621178676,22.153707007100994,0.021587033144922895,26.397770079058585,1.6230306834801094,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Appliances Energy Prediction,500,all,dkl_svgp,5,,113.84303068879198,52.36993179321289,0.581,58.88125083726138,0.631,70.16133783258877,1.1425313999934588,8.096678854373442,4.937978105399118,0.023108440016582684,8.12995658757094,0.02059126028197402,9.687440782828592,0.04555622195143986,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Appliances Energy Prediction,500,all,lmjgp_transductive,5,,105.93451713569524,42.93251953125,0.825,151.82275448813837,0.857,180.90797014073587,87.9668705799908,9.026381534955604,4.048766725596214,0.03271085446759225,19.14714926615498,0.0317175030543074,22.815235564655772,5.896257213577893,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Appliances Energy Prediction,500,all,lmjgp_transductive_residual_ridge,5,,103.68285465351755,44.89972839355469,0.8140000000000001,159.22132535035777,0.867,189.7239110788321,84.69950583999744,7.151586266274965,2.504376936571778,0.02059126028197397,15.217799659013135,0.011661903789690611,18.133126721367315,1.6536801390973552,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Appliances Energy Prediction,500,all,lmjgp_supervised,5,,106.07415710388725,42.0757698059082,0.8470000000000001,156.64224524297518,0.873,186.6507475821614,86.36698197999503,7.8570537954209,4.1942322708774356,0.02204540768504858,26.548221477558204,0.021817424229271444,31.634157044140412,2.336831620337753,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Appliances Energy Prediction,500,all,lmjgp_supervised_residual_ridge,5,,104.5151746621602,45.190697479248044,0.8090000000000002,160.90870445123966,0.851,191.73454729095732,84.99025453999639,8.348554134173742,3.1440474232266116,0.03541186241925154,19.024639484014827,0.02745906043549195,22.66925615541586,2.894428109869168,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
,Wine Quality,1000,all,xgb_bootstrap,5,,0.6889652834440315,0.3968637704849243,0.6970000000000001,1.3314683139260475,0.7700000000000001,1.586542351910025,7.062295339989942,0.015365413597670782,0.016109567182371193,0.03893584466786355,0.05041792774205148,0.0268328157299975,0.060076666355236334,3.2060279086457726,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Wine Quality,1000,all,dkl_svgp,5,,0.759417547051156,0.5155158102512359,0.281,0.5019657405817691,0.31799999999999995,0.5981290717257659,1.6722525199991651,0.03930556501898927,0.02757461834265215,0.045321076774498634,0.025113470929536356,0.044,0.029924546319608218,0.47129097357683075,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Wine Quality,1000,all,lmjgp_transductive,5,,0.7307078157599027,0.41139993667602537,0.85,2.0427986798743456,0.89,2.4341447619507903,56.55325723999995,0.01242379679550616,0.006114094078149879,0.01140175425099139,0.06904288562660835,0.014491376746189452,0.08226967251041778,22.383881332216994,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Wine Quality,1000,all,lmjgp_transductive_residual_ridge,5,,0.7213190666232695,0.4027008891105652,0.828,1.9476781449557432,0.885,2.320801653739894,51.88032535999664,0.019984507283332377,0.013830698123779765,0.021118712081942867,0.04421293078774362,0.027018512172212617,0.052682956449775664,15.177190828426037,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Wine Quality,1000,all,lmjgp_supervised,5,,0.7271514015927207,0.4058877885341644,0.841,1.9969495465937501,0.889,2.3795121499785665,45.806590439996214,0.01584591967919496,0.00882883462824033,0.01984943324127919,0.07721829334959075,0.02922327839240494,0.09201127166150673,5.388308260228246,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Wine Quality,1000,all,lmjgp_supervised_residual_ridge,5,,0.7240610090285499,0.40289061665534975,0.808,1.9009493131164958,0.874,2.2651208162818537,65.58092182000982,0.025609309896792793,0.012865783676910594,0.007483314773547848,0.0324824968027965,0.007348469228349541,0.038705282231959404,27.22980805884781,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Parkinsons Telemonitoring,1000,all,xgb_bootstrap,5,,9.794253205677592,7.425665283203125,0.187,6.479026459708895,0.22999999999999998,7.720236200862955,4.902310519991443,0.5702634290721186,0.23455369806816584,0.0680147042925278,0.45901757041994196,0.07106335201775947,0.546953170514975,0.39295722990020443,baseline,subject_grouped,false,false,25,experiments/uci/parkinsons_grouped_raw_xgb_dkl_train1000_5seeds
,Parkinsons Telemonitoring,1000,all,dkl_svgp,5,,7.86002955324782,4.926346397399902,0.65,15.159473284107872,0.6950000000000001,18.063626558988126,1.4026192000019364,1.0359813465492131,0.8764157530978963,0.12292273996295398,0.49945281884354986,0.13725887949418794,0.5951347407882467,0.043365644935314335,baseline,subject_grouped,false,false,25,experiments/uci/parkinsons_grouped_raw_xgb_dkl_train1000_5seeds
,Parkinsons Telemonitoring,1000,all,lmjgp_transductive,5,,9.227360561675042,5.836306571960449,0.628,19.855773114832875,0.7050000000000001,23.65961296045418,62.177556380000894,0.7847531688622439,0.7162736319060933,0.10132127121192272,1.4105888511172293,0.0874642784226795,1.680820286913634,1.7912887030993891,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train1000_5seeds
,Parkinsons Telemonitoring,1000,all,lmjgp_transductive_residual_ridge,5,,9.65181897528484,6.170866870880127,0.583,18.558417575597094,0.6589999999999999,22.113718486695824,64.40696236000512,1.0600322434798368,0.8380201983458586,0.09672641831474998,1.3507124117360796,0.08254695633395576,1.609473108789916,1.467286440181245,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train1000_5seeds
,Parkinsons Telemonitoring,1000,all,lmjgp_supervised,5,,9.009474367585671,5.6530442237854,0.6449999999999999,19.851438701321968,0.72,23.654448188199503,62.67810565999825,0.6705031650419583,0.6418858699263772,0.08154753215150046,1.3053824182897493,0.08831760866327847,1.5554590900842444,2.516258599544733,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train1000_5seeds
,Parkinsons Telemonitoring,1000,all,lmjgp_supervised_residual_ridge,5,,9.729749513963828,6.1983160972595215,0.58,18.57011557496184,0.6719999999999999,22.1276575126799,63.32290238000569,1.0223064216916682,0.8520103917832664,0.11484772527133484,2.0854048043546873,0.11214276615100949,2.4849130905935466,1.4609928487817054,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train1000_5seeds
,Appliances Energy Prediction,1000,all,xgb_bootstrap,5,,96.24355679461135,41.26602020263672,0.8780000000000001,167.39442230215568,0.905,199.4627567762253,5.471233559999382,8.164977647682347,4.4359021787301485,0.03140063693621519,24.008479603695967,0.017888543819998333,28.607867943861013,0.5666233358622942,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Appliances Energy Prediction,1000,all,dkl_svgp,5,,110.3784309293936,51.08631439208985,0.589,63.23305532874711,0.658,75.34683271876892,1.3279207200102974,8.42855615850133,4.326891394301165,0.03367491648096549,10.824326568796996,0.016309506430300106,12.897980637378648,0.06926787486664382,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Appliances Energy Prediction,1000,all,lmjgp_transductive,5,,105.12582991801594,41.72765121459961,0.8240000000000001,145.12417509361916,0.8559999999999999,172.92612048206885,82.53048992000404,9.135730367521754,5.516972151829881,0.03512833614050058,22.400359347658302,0.028530685235374196,26.691674470472933,1.8996170545931625,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Appliances Energy Prediction,1000,all,lmjgp_transductive_residual_ridge,5,,98.32629028813365,41.054623413085935,0.8019999999999999,143.01003285069976,0.849,170.40696462137598,80.78790657999343,6.951703559627457,3.730115109661799,0.02420743687382038,16.506307039841577,0.017720045146669368,19.668477964090528,1.8546450106222696,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
