benchmark,train_size,dataset,subset,method,n_train,n_test,Q,n_final,n_candidate,n_vem,standardize_x,standardize_y,best_loss_mean,best_loss_std,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,gamma_entropy_mean,gamma_entropy_std,gamma_mean_mean,gamma_mean_std,kl_coeff_mean,kl_coeff_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,n_seeds,pred_sec_mean,pred_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
pdebench,,PDEBench-Burgers,all,vem_em_learned_qw,1600,400,3,25,100,50,,,73.20333251953124,0.05312246319204611,0.7815,0.012509996003196825,0.8324999999999999,0.009082951062292507,0.5117803096771241,0.0002317102254988986,0.7554841995239258,0.0002777388329950529,68.78202514648437,0.0498321989219149,0.2545185208320618,0.00880912193289586,0.5888009778285996,0.02637002642422911,0.7015996388352611,0.031421824541706445,5,78.62665428002364,2.6047170109938027,0.7683206961113158,0.01732492573417653,2.2330082000116818,0.024735502087646206,80.85966248003533,2.6053303752353343
pdebench,,PDEBench-Burgers,far_from_threshold,vem_em_learned_qw,1600,294,3,25,100,50,,,73.20333251953124,0.05312246319204611,0.8027210884353743,0.014106422689338602,0.8517006802721088,0.006308584010541261,0.5117803096771241,0.0002317102254988986,0.7554841995239258,0.0002777388329950529,68.78202514648437,0.0498321989219149,0.22230130434036255,0.0043494796564079955,0.5155940908788472,0.02978840625089498,0.6143682527162803,0.03549507533798599,5,78.62665428002364,2.6047170109938027,0.7390406926233536,0.012657153020286131,2.2330082000116818,0.024735502087646206,80.85966248003533,2.6053303752353343
pdebench,,PDEBench-Burgers,near_threshold,vem_em_learned_qw,1600,106,3,25,100,50,,,73.20333251953124,0.05312246319204611,0.7226415094339622,0.012796849024764655,0.779245283018868,0.02200359205602003,0.5117803096771241,0.0002317102254988986,0.7554841995239258,0.0002777388329950529,68.78202514648437,0.0498321989219149,0.34387574791908265,0.026527022667498953,0.7918464944628184,0.0646293089679882,0.9435432946746986,0.07701057154716989,5,78.62665428002364,2.6047170109938027,0.843439082239686,0.045046728647954844,2.2330082000116818,0.024735502087646206,80.85966248003533,2.6053303752353343
uci,1000,Appliances Energy Prediction,all,vem_em_learned_qw,1000,200,5,35,100,50,1,1,79.0640365600586,1.3973862277459663,0.717,0.038548670534792766,0.771,0.03307567081708245,0.5227195620536804,0.0013187454657164004,0.7522620320320129,0.004118865785233056,119.47467346191407,2.202448795443891,44.22516784667969,5.099370338150125,96.28191419627088,10.515508674534326,114.72697697546195,12.530001419885522,5,72.78796186000109,1.3769872494825852,110.56774793931235,10.239197093878694,1.616611500014551,0.04707410174511724,74.40457336001563,1.3450681156726247
uci,1000,Parkinsons Telemonitoring,all,vem_em_learned_qw,1000,200,5,25,100,50,1,0,78.99607543945312,4.993645815351274,0.374,0.08374962686484042,0.433,0.08477027781009094,0.5383552670478821,0.0026288638927674775,0.751148772239685,0.008833623290375,124.7971176147461,1.2990486311828198,6.830235004425049,1.01208920667331,11.421672585606196,0.6518162052500912,13.60976231817439,0.7766869135933394,5,66.72930446000537,0.942114719641282,9.930996804991569,0.9248015721688382,1.604852159996517,0.07134887925900922,68.33415662000189,0.8827540362949412
uci,1000,Wine Quality,all,vem_em_learned_qw,1000,200,3,25,100,50,1,0,93.61542663574218,1.2663241643713967,0.7369999999999999,0.025612496949731417,0.788,0.020639767440550277,0.5500937700271606,0.0019938975144933348,0.7061092495918274,0.0026812681149457926,79.729443359375,0.3938145250253481,0.43688819408416746,0.024225899374428622,1.5368395746290027,0.07414537152402684,1.8312573027372294,0.08834965946287307,5,42.06632005999563,1.679129138498721,0.7700696727337216,0.034616347623854495,1.555986059992574,0.08322130110808308,43.62230611998821,1.7456349579670631
uci,200,Appliances Energy Prediction,all,vem_em_learned_qw,200,200,5,35,100,50,1,1,78.51918182373046,3.7087118688665948,0.6980000000000001,0.015033296378372887,0.732,0.013266499161421611,0.5374709486961364,0.003751186200369827,0.7565075874328613,0.004314749959812323,123.55520782470703,1.4024977934412872,49.087789916992186,4.472915060053661,106.14945480640522,11.72689127241922,126.484876824395,13.973452815468585,5,74.69531898000278,3.4743536726148134,114.34253410127546,9.905800414903037,1.6688333800062538,0.07886152133360112,76.36415236000903,3.473776616533881
uci,200,Parkinsons Telemonitoring,all,vem_em_learned_qw,200,200,5,25,100,50,1,0,84.40202941894532,2.975757985327375,0.42800000000000005,0.05608921464952065,0.47400000000000003,0.05894064811316551,0.5509493231773377,0.003148261679979262,0.7489812135696411,0.005091672799382745,127.0122802734375,1.4507488973486473,7.060453605651856,0.3896115366172045,14.216175190570016,1.1931544166604353,16.939617553125363,1.4217311779793667,5,103.1095373799908,47.431746088344,10.340444088117938,0.3362454277311588,1.8956565199885518,0.2632135501018424,105.00519389997935,47.66393194971858
uci,200,Wine Quality,all,vem_em_learned_qw,200,200,3,25,100,50,1,0,95.16969451904296,4.752565266434914,0.6780000000000002,0.03931920650267499,0.736,0.0336749164809655,0.5541910290718078,0.003958281126170507,0.7108862280845643,0.011962451608196673,79.48804321289063,0.5250767707972197,0.5006602227687835,0.027672716485714798,1.5892490473872674,0.08059316884047751,1.8937070413472916,0.09603268384436721,5,111.8052793800016,5.856641292381009,0.8480594071672976,0.043129972544497276,2.2097946400055664,0.09770287621251952,114.01507402000716,5.762437838875476
uci,500,Appliances Energy Prediction,all,vem_em_learned_qw,500,200,5,35,100,50,1,1,79.14276885986328,2.5495488440232146,0.7389999999999999,0.03039736830714131,0.788,0.03026549190084311,0.528247845172882,0.0015274694781414288,0.753697395324707,0.0019374077905441006,121.2159637451172,1.5332944054705169,44.18835296630859,3.720209984899321,110.08760240409019,24.527779777083598,131.17746912002136,29.22665226626395,5,74.26881968000671,1.8374515902174198,108.45531340320824,5.4634135291977906,1.6706830599927343,0.06973220835061987,75.93950273999944,1.7952379299022965
uci,500,Parkinsons Telemonitoring,all,vem_em_learned_qw,500,200,5,25,100,50,1,0,81.89859161376953,3.5204535050059103,0.383,0.10675204916066014,0.454,0.11464728518373213,0.5431030988693237,0.003581653100939491,0.7503033995628356,0.008744787930634925,126.1279800415039,1.5429254167513784,7.162483787536621,1.0394297029178448,12.596799725049294,1.4644622180915157,15.010012670439929,1.745014363070554,5,65.83857816001401,1.063041694456708,10.418345043153245,0.865055299698438,1.685615460004192,0.06693211980405843,67.5241936200182,1.0843978792767948
uci,500,Wine Quality,all,vem_em_learned_qw,500,200,3,25,100,50,1,0,92.79682769775391,2.764603302277105,0.719,0.0415210789840534,0.7779999999999999,0.036,0.5492606043815613,0.0024747085463055632,0.710083794593811,0.005921699887621813,80.00115509033203,0.490490493908223,0.44702653884887694,0.025670369267901786,1.530371312083945,0.042631146711497814,1.823549892531764,0.050798144470179135,5,42.82359750001924,0.8454695555211071,0.7698700711138485,0.03390410509544241,1.50849413999822,0.05787330161552988,44.33209164001746,0.8294541292408032
