benchmark,train_size,dataset,subset,seed,method,status,n_train,n_test,Q,n_final,n_candidate,n_vem,standardize_x,standardize_y,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,best_loss,gamma_mean,gamma_entropy,kl_coeff,C_std_median,raw_mean_crps,raw_rmse
uci,200,Wine Quality,all,0,vem_em_learned_qw,ok,200,200,3,25,100,50,1,0,raw,200,0,0.8520556525259764,0.5043266415596008,105.54207540000789,0.67,1.5193116804473459,0.705,1.8103715286124236,2.356518300017342,103.18555709999055,103.83246612548828,0.6902768611907959,0.5485038757324219,79.26573181152344,0.04367084056138992,0.5043266415596008,0.8520556525259764
uci,200,Wine Quality,all,1,vem_em_learned_qw,ok,200,200,3,25,100,50,1,0,raw,200,0,0.8334569195779261,0.48723194003105164,114.5197372000548,0.7,1.5887560661493052,0.76,1.8931196179707501,2.2330044000409544,112.28673280001385,90.72933197021484,0.7241184115409851,0.5548471808433533,78.57109832763672,0.044562410563230515,0.48723194003105164,0.8334569195779261
uci,200,Wine Quality,all,2,vem_em_learned_qw,ok,200,200,3,25,100,50,1,0,raw,200,0,0.8238595306351605,0.5035369992256165,113.3907563999528,0.625,1.4903916036392695,0.69,1.7759111316231695,2.227215599967167,111.16354079998564,92.26326751708984,0.7214028835296631,0.5595511794090271,79.79539489746094,0.043199047446250916,0.5035369992256165,0.8238595306351605
uci,200,Wine Quality,all,3,vem_em_learned_qw,ok,200,200,3,25,100,50,1,0,raw,200,0,0.8026914419360608,0.4616577625274658,123.63471920002485,0.74,1.7156232893935823,0.78,2.0442912385350898,2.0536338000092655,121.58108540001558,96.61654663085938,0.7095776200294495,0.5569230318069458,80.05862426757812,0.04293004423379898,0.4616577625274658,0.8026914419360608
uci,200,Wine Quality,all,4,vem_em_learned_qw,ok,200,200,3,25,100,50,1,0,raw,200,0,0.9282334911613636,0.5465477705001831,112.98808189999545,0.655,1.632162597306834,0.745,1.9448416899950243,2.1786010999931023,110.80948080000235,92.4068603515625,0.7090553641319275,0.5511298775672913,79.7493667602539,0.04354577511548996,0.5465477705001831,0.9282334911613636
uci,200,Parkinsons Telemonitoring,all,0,vem_em_learned_qw,ok,200,200,5,25,100,50,1,0,raw,200,0,10.530533034818665,7.44398307800293,185.69063650001772,0.38,14.6853195729445,0.42,17.4986375643512,2.1581112999701872,183.53252520004753,88.48645782470703,0.7431666851043701,0.5499322414398193,126.75335693359375,0.04821909964084625,7.44398307800293,10.530533034818665
uci,200,Parkinsons Telemonitoring,all,1,vem_em_learned_qw,ok,200,200,5,25,100,50,1,0,raw,200,0,9.836013014004086,6.519646644592285,133.97139529994456,0.51,15.982732717451768,0.545,19.044600679024214,2.2706833999836817,131.70071189996088,85.38648986816406,0.7459111213684082,0.5495404601097107,126.22590637207031,0.049323126673698425,6.519646644592285,9.836013014004086
uci,200,Parkinsons Telemonitoring,all,2,vem_em_learned_qw,ok,200,200,5,25,100,50,1,0,raw,200,0,10.425753326188312,6.959747791290283,69.52381219994277,0.43,14.044064075275566,0.48,16.73453450999687,1.7110501999850385,67.81276199995773,82.48250579833984,0.7580207586288452,0.5477204918861389,128.120361328125,0.046603746712207794,6.959747791290283,10.425753326188312
uci,200,Parkinsons Telemonitoring,all,3,vem_em_learned_qw,ok,200,200,5,25,100,50,1,0,raw,200,0,10.107674826302123,6.817962169647217,68.43397969997022,0.465,14.083946257007923,0.53,16.782057060660037,1.6580014000064693,66.77597829996375,79.8290023803711,0.7504311800003052,0.5506045818328857,129.05551147460938,0.04646126553416252,6.817962169647217,10.107674826302123
uci,200,Parkinsons Telemonitoring,all,4,vem_em_learned_qw,ok,200,200,5,25,100,50,1,0,raw,200,0,10.802246239276501,7.5609283447265625,67.40614580002148,0.355,12.284813330170328,0.395,14.638257951594477,1.6804362999973819,65.7257095000241,85.82569122314453,0.7473763227462769,0.5569488406181335,124.90626525878906,0.05100557580590248,7.5609283447265625,10.802246239276501
uci,200,Appliances Energy Prediction,all,0,vem_em_learned_qw,ok,200,200,5,35,100,50,1,1,raw,200,0,107.79207035830719,45.76454162597656,78.20106160000432,0.7,83.5564656110089,0.745,99.56366973306896,1.7324392999871634,76.46862230001716,81.1718978881836,0.7628400325775146,0.5404173731803894,124.7564697265625,0.050242889672517776,45.76454162597656,107.79207035830719
uci,200,Appliances Energy Prediction,all,1,vem_em_learned_qw,ok,200,200,5,35,100,50,1,1,raw,200,0,127.15506561805543,55.1176643371582,81.37752270005876,0.675,107.05708465786972,0.71,127.56638449840055,1.6108179000439122,79.76670480001485,78.42789459228516,0.7575297355651855,0.536940336227417,125.17108917236328,0.04932740703225136,55.1176643371582,127.15506561805543
uci,200,Appliances Energy Prediction,all,2,vem_em_learned_qw,ok,200,200,5,35,100,50,1,1,raw,200,0,110.63780167568557,46.9327392578125,72.11165640002582,0.69,110.3972127899663,0.725,131.5463926495158,1.5498434000182897,70.56181300000753,71.80044555664062,0.7586445808410645,0.5308270454406738,121.48839569091797,0.05297689884901047,46.9327392578125,110.63780167568557
uci,200,Appliances Energy Prediction,all,3,vem_em_learned_qw,ok,200,200,5,35,100,50,1,1,raw,200,0,124.60855883961531,53.70256042480469,72.78825149999466,0.705,113.09984895009538,0.735,134.76678226374918,1.7648768000071868,71.02337469998747,78.60478973388672,0.7506827116012573,0.5375460982322693,123.9635238647461,0.050176143646240234,53.70256042480469,124.60855883961531
uci,200,Appliances Energy Prediction,all,4,vem_em_learned_qw,ok,200,200,5,35,100,50,1,1,raw,200,0,101.51917401471387,43.921443939208984,77.34226959996158,0.72,116.63666202308578,0.745,138.98115497724058,1.6861894999747165,75.65608009998687,82.59088134765625,0.7528408765792847,0.5416238903999329,122.39656066894531,0.05224493891000748,43.921443939208984,101.51917401471387
uci,500,Wine Quality,all,0,vem_em_learned_qw,ok,500,200,3,25,100,50,1,0,raw,200,0,0.7584753708995798,0.45524048805236816,45.65630410000449,0.66,1.4693374822957481,0.725,1.7508235986759866,1.4571322999545373,44.19917180004995,89.27152252197266,0.7161670327186584,0.5490859746932983,79.52409362792969,0.04361089691519737,0.45524048805236816,0.7584753708995798
uci,500,Wine Quality,all,1,vem_em_learned_qw,ok,500,200,3,25,100,50,1,0,raw,200,0,0.7695809908464143,0.4502103328704834,44.790154900052585,0.71,1.5672590642145405,0.785,1.8675043602497237,1.4833993000211194,43.306755600031465,96.5564956665039,0.7005574703216553,0.5456809997558594,80.00399017333984,0.04304124414920807,0.4502103328704834,0.7695809908464143
uci,500,Wine Quality,all,2,vem_em_learned_qw,ok,500,200,3,25,100,50,1,0,raw,200,0,0.7156057104307458,0.39957091212272644,43.2554136000108,0.79,1.5821342208736775,0.835,1.8852292026542938,1.4468710999935865,41.80854250001721,95.40754699707031,0.7067612409591675,0.5520491600036621,80.38188934326172,0.04237512871623039,0.39957091212272644,0.7156057104307458
uci,500,Wine Quality,all,3,vem_em_learned_qw,ok,500,200,3,25,100,50,1,0,raw,200,0,0.7870593475995982,0.45250335335731506,44.16428000002634,0.715,1.5382480908513287,0.785,1.8329356533346113,1.586148000031244,42.578131999995094,92.00244903564453,0.710854172706604,0.5475600361824036,79.40525817871094,0.04388851299881935,0.45250335335731506,0.7870593475995982
uci,500,Wine Quality,all,4,vem_em_learned_qw,ok,500,200,3,25,100,50,1,0,raw,200,0,0.818628935792905,0.4776076078414917,43.794305599993095,0.72,1.4948777021844302,0.76,1.7812566477442044,1.5689199999906123,42.22538560000248,90.74612426757812,0.71607905626297,0.551926851272583,80.69054412841797,0.04213910922408104,0.4776076078414917,0.818628935792905
uci,500,Parkinsons Telemonitoring,all,0,vem_em_learned_qw,ok,500,200,5,25,100,50,1,0,raw,200,0,11.479990590468585,8.455615997314453,68.56975090008928,0.23,11.390320592819185,0.29,13.572404114563295,1.664412500045728,66.90533840004355,78.42828369140625,0.7554942965507507,0.5403769016265869,124.9911880493164,0.04981645941734314,8.455615997314453,11.479990590468585
uci,500,Parkinsons Telemonitoring,all,1,vem_em_learned_qw,ok,500,200,5,25,100,50,1,0,raw,200,0,9.635593756265438,6.330678939819336,67.1191506999894,0.48,14.091296641982613,0.54,16.79081558457174,1.7186120999976993,65.4005385999917,84.85984802246094,0.745518684387207,0.5490114092826843,128.3355255126953,0.046673063188791275,6.330678939819336,9.635593756265438
uci,500,Parkinsons Telemonitoring,all,2,vem_em_learned_qw,ok,500,200,5,25,100,50,1,0,raw,200,0,9.32009593586382,5.706205368041992,65.60007799998857,0.51,13.43580119436054,0.61,16.00974458328736,1.606354299990926,63.993723699997645,79.34579467773438,0.7588912844657898,0.5455440878868103,127.545166015625,0.04761156439781189,5.706205368041992,9.32009593586382
uci,500,Parkinsons Telemonitoring,all,3,vem_em_learned_qw,ok,500,200,5,25,100,50,1,0,raw,200,0,10.348444408171012,7.200465202331543,67.94655519997468,0.4,13.720762371131555,0.46,16.349296768546832,1.797780499968212,66.14877470000647,87.29937744140625,0.7353584170341492,0.5404196977615356,125.44712829589844,0.050098348408937454,7.200465202331543,10.348444408171012
uci,500,Parkinsons Telemonitoring,all,4,vem_em_learned_qw,ok,500,200,5,25,100,50,1,0,raw,200,0,11.30760052499737,8.119453430175781,68.38543330004904,0.295,10.345817824952576,0.37,12.327802301230422,1.640917900018394,66.74451540003065,79.55965423583984,0.7562543153762817,0.5401633977890015,124.32089233398438,0.05017069727182388,8.119453430175781,11.30760052499737
uci,500,Appliances Energy Prediction,all,0,vem_em_learned_qw,ok,500,200,5,35,100,50,1,1,raw,200,0,110.87774379951664,43.2075080871582,72.75635730003705,0.76,109.79058929292333,0.805,130.82355616917587,1.7417531000101008,71.01460420002695,81.84500122070312,0.7502599358558655,0.5285396575927734,119.8884048461914,0.0540294386446476,43.2075080871582,110.87774379951664
uci,500,Appliances Energy Prediction,all,1,vem_em_learned_qw,ok,500,200,5,35,100,50,1,1,raw,200,0,109.05358827093912,42.77980422973633,76.03153089998523,0.68,78.48564400314083,0.735,93.5214131087705,1.7489636999671347,74.2825672000181,74.50349426269531,0.7556559443473816,0.5268275141716003,118.90308380126953,0.0536317452788353,42.77980422973633,109.05358827093912
uci,500,Appliances Energy Prediction,all,2,vem_em_learned_qw,ok,500,200,5,35,100,50,1,1,raw,200,0,107.73312019408877,46.13579559326172,78.29486619995441,0.755,139.33121338670054,0.825,166.0233808562802,1.636239699961152,76.65862649999326,78.77171325683594,0.7540475726127625,0.5261684656143188,122.12620544433594,0.051847536116838455,46.13579559326172,107.73312019408877
uci,500,Appliances Energy Prediction,all,3,vem_em_learned_qw,ok,500,200,5,35,100,50,1,1,raw,200,0,115.66832959232276,49.99339294433594,76.0288943000487,0.74,135.40042035167644,0.78,161.3395520625857,1.6649300000281073,74.3639643000206,79.63548278808594,0.7531763911247253,0.5300688147544861,122.37177276611328,0.05202821269631386,49.99339294433594,115.66832959232276
