benchmark,dataset,train_size,subset,method_group,method_raw,n_seeds,status,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std,wall_sec_mean,wall_sec_std,source_file
pdebench,PDEBench Burgers ShockJump,200,all,xgboost,xgb_bootstrap,5,ok,0.8308548022044311,0.030604958448435436,0.38129852414131166,0.029394642242704865,0.9175000000000001,0.013228756555322964,1.9603662135332989,0.13370811439818694,0.9410000000000001,0.00888819441731558,2.335920419955873,0.1593230451434812,1.482056660001399,0.38280050127270576,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,all,dkl,dkl_svgp,5,ok,0.9225292921066284,0.04647748999534639,0.47055206298828123,0.04257750497135642,0.7,0.08618294494852216,1.4413722952006232,0.31159394811320984,0.7390000000000001,0.06619289992136619,1.7175010229590497,0.3712870896812947,0.7615701799993986,0.16032191942237783,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,all,dmgp,deep_mahalanobis_gp,5,ok,0.829666741144498,0.05121607937453083,0.3915805075533324,0.04091661336013496,0.9055,0.02541653005427769,2.0421632905125433,0.1965723147360038,0.9244999999999999,0.021587033144922923,2.4333876488284507,0.23423036003166858,88.23708062,12.296937993749097,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,all,lmjgp,lmjgp_predict_vi,5,ok,0.8866100907325745,0.029305142176420804,0.3517411291599274,0.010446467409216613,0.8234999999999999,0.018343936327844142,1.345220836113155,0.2158849217136666,0.8675,0.018234582528810453,1.6029294928334856,0.2572427506198513,593.7120631800033,8.439915333452436,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,all,self_cem,,,missing_in_summary_sources,,,,,,,,,,,,,,,
pdebench,PDEBench Burgers ShockJump,200,far_from_threshold,xgboost,xgb_bootstrap,5,ok,0.7002007254015636,0.03438745210971498,0.3081132173538208,0.034015567321424856,0.9496598639455783,0.014171882078911298,1.8663325639319581,0.1617593332893038,0.9659863945578231,0.00745200758510431,2.2238724154808067,0.19274813406822378,1.482056660001399,0.38280050127270576,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,far_from_threshold,dkl,dkl_svgp,5,ok,0.7097043871879578,0.05424800425536799,0.3481017529964447,0.06685837070083733,0.7551020408163265,0.10641421604496042,1.4197804207826903,0.35105911787246774,0.7965986394557824,0.08763108887556276,1.6917727177017032,0.41831273993034634,0.7615701799993986,0.16032191942237783,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,far_from_threshold,dmgp,deep_mahalanobis_gp,5,ok,0.7014018528464243,0.02250792762010265,0.3198419954957862,0.034200081903006344,0.9591836734693878,0.006453627877894624,1.9694094575386594,0.21498969444474864,0.9632653061224488,0.002545345161070711,2.346696109818784,0.25617602153447394,88.23708062,12.296937993749097,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,far_from_threshold,lmjgp,lmjgp_predict_vi,5,ok,0.6899495244026184,0.024911284632583106,0.22104865908622742,0.009997825590733145,0.8823129251700681,0.01781741612749498,0.9011141812246095,0.20746719175495498,0.9183673469387756,0.01505846504842087,1.0737437740474647,0.24721240671549052,593.7120631800033,8.439915333452436,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,far_from_threshold,self_cem,,,missing_in_summary_sources,,,,,,,,,,,,,,,
