benchmark,dataset,train_size,seed,method,subset,n_train,n_test,n_eval,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,init_inlier_rate,final_inlier_rate,label_change_rate,mean_noise_var,init_init_sec,init_meanw_cem_failed,init_meanw_cem_inlier_rate,Q,n_neighbors,status
pdebench_burgers,PDEBench Burgers ShockJump,200,0,self_cem2_nstd0.1_kcov0.1,all,200,400,400,0.9580520382036808,0.37343308329582214,292.4414600999735,0.7625,0.626432145630137,0.805,0.7464399409622615,290.2756166999752,2.1658433999982662,0.7545000000000001,0.7983,0.06760000000000001,0.014066128958799773,54.290285099996254,0,0.7545000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,0,self_cem2_nstd0.1_kcov0.1,near_threshold,200,400,106,1.4112180741601341,0.7900494337081909,292.4414600999735,0.5377358490566038,0.9073418344800488,0.5660377358490566,1.0811644806008414,290.2756166999752,2.1658433999982662,0.7545000000000001,0.7983,0.06760000000000001,0.014066128958799773,54.290285099996254,0,0.7545000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,0,self_cem2_nstd0.1_kcov0.1,far_from_threshold,200,400,294,0.7285308559241005,0.22322450578212738,292.4414600999735,0.8435374149659864,0.525151781623026,0.891156462585034,0.6257569436776036,290.2756166999752,2.1658433999982662,0.7545000000000001,0.7983,0.06760000000000001,0.014066128958799773,54.290285099996254,0,0.7545000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,1,self_cem2_nstd0.1_kcov0.1,all,200,400,400,0.9370033404790487,0.3802066743373871,289.153738300025,0.81,1.1674276144264808,0.8375,1.391075802333943,287.0029298000154,2.150808500009589,0.759,0.7995,0.07150000000000001,0.19332357711273887,62.00787980001769,0,0.759,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,1,self_cem2_nstd0.1_kcov0.1,near_threshold,200,400,106,1.2144439161529836,0.633812665939331,289.153738300025,0.660377358490566,1.4124299815836423,0.6981132075471698,1.6830141291776985,287.0029298000154,2.150808500009589,0.759,0.7995,0.07150000000000001,0.19332357711273887,62.00787980001769,0,0.759,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,1,self_cem2_nstd0.1_kcov0.1,far_from_threshold,200,400,294,0.8141049451115071,0.28877052664756775,289.153738300025,0.8639455782312925,1.0790934276283204,0.8877551020408163,1.2858191266691874,287.0029298000154,2.150808500009589,0.759,0.7995,0.07150000000000001,0.19332357711273887,62.00787980001769,0,0.759,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,2,self_cem2_nstd0.1_kcov0.1,all,200,400,400,1.0874331665712136,0.46654996275901794,298.5044327999931,0.7725,0.8139079817521737,0.8175,0.9698311781824023,296.08030179998605,2.424131000007037,0.7396,0.7623000000000001,0.0349,0.04096523060593589,48.6012466000102,0,0.7396,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,2,self_cem2_nstd0.1_kcov0.1,near_threshold,200,400,106,1.486654258524015,0.9008635878562927,298.5044327999931,0.5660377358490566,1.1336342222850575,0.6132075471698113,1.3508084919621475,296.08030179998605,2.424131000007037,0.7396,0.7623000000000001,0.0349,0.04096523060593589,48.6012466000102,0,0.7396,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,2,self_cem2_nstd0.1_kcov0.1,far_from_threshold,200,400,294,0.9011131116541823,0.3099606931209564,298.5044327999931,0.8469387755102041,0.6986325344852156,0.891156462585034,0.8324720106291608,296.08030179998605,2.424131000007037,0.7396,0.7623000000000001,0.0349,0.04096523060593589,48.6012466000102,0,0.7396,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,3,self_cem2_nstd0.1_kcov0.1,all,200,400,400,0.9463361995988714,0.3698514699935913,248.52784110000357,0.7625,0.7597622514943069,0.8,0.9053125611558366,246.79428810000536,1.73355299999821,0.777,0.805,0.048,0.019487156574106733,51.65907480000169,0,0.777,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,3,self_cem2_nstd0.1_kcov0.1,near_threshold,200,400,106,1.2540428377740995,0.6691931486129761,248.52784110000357,0.4716981132075472,0.9733111508983603,0.5377358490566038,1.1597717695085195,246.79428810000536,1.73355299999821,0.777,0.805,0.048,0.019487156574106733,51.65907480000169,0,0.777,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,3,self_cem2_nstd0.1_kcov0.1,far_from_threshold,200,400,294,0.8071171435798951,0.26192545890808105,248.52784110000357,0.8673469387755102,0.6827684306207366,0.8945578231292517,0.813568764947046,246.79428810000536,1.73355299999821,0.777,0.805,0.048,0.019487156574106733,51.65907480000169,0,0.777,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,4,self_cem2_nstd0.1_kcov0.1,all,200,400,400,0.9422525547863327,0.36200034618377686,252.8144665999862,0.75,0.6815071612822209,0.7825,0.8120658698335902,251.1427049000049,1.671761699981289,0.7867000000000001,0.8074,0.043300000000000005,0.01231938363504165,44.10267079999903,0,0.7867000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,4,self_cem2_nstd0.1_kcov0.1,near_threshold,200,400,106,1.0679723308357811,0.5248050093650818,252.8144665999862,0.5943396226415094,0.9836138126380817,0.5943396226415094,1.1720481481624538,251.1427049000049,1.671761699981289,0.7867000000000001,0.8074,0.043300000000000005,0.01231938363504165,44.10267079999903,0,0.7867000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,200,4,self_cem2_nstd0.1_kcov0.1,far_from_threshold,200,400,294,0.8925924778417081,0.3033020794391632,252.8144665999862,0.8061224489795918,0.5725843550110601,0.8503401360544217,0.682276340912299,251.1427049000049,1.671761699981289,0.7867000000000001,0.8074,0.043300000000000005,0.01231938363504165,44.10267079999903,0,0.7867000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,0,self_cem2_nstd0.1_kcov0.1,all,500,400,400,0.8894877156494424,0.3219327926635742,246.88529269999708,0.8075,0.7197425821586486,0.8425,0.857626183908722,245.20732649997808,1.677966200019,0.7967000000000001,0.8302,0.052700000000000004,0.021080766079626764,43.99238290000358,0,0.7967000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,0,self_cem2_nstd0.1_kcov0.1,near_threshold,500,400,106,1.147748911960402,0.5540755391120911,246.88529269999708,0.660377358490566,1.1234841075754047,0.6886792452830188,1.3387138843059387,245.20732649997808,1.677966200019,0.7967000000000001,0.8302,0.052700000000000004,0.021080766079626764,43.99238290000358,0,0.7967000000000001,3,25,ok
