source,dataset,seed,method,rmse,mean_crps,coverage_90,width_90,wall_sec
bestpreset_same_split_seed0,Appliances Energy Prediction,0,dkl_svgp,103.13649115636369,46.1120719909668,0.58,57.49837003977237,1.2144015000085346
bestpreset_same_split_seed0,Appliances Energy Prediction,0,lmjgp_supervised,102.91276141318836,38.79152297973633,0.86,142.9203649565364,90.28877569999895
bestpreset_same_split_seed0,Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,106.95008770923623,45.95143508911133,0.8,163.79052093225675,83.15104669998982
bestpreset_same_split_seed0,Appliances Energy Prediction,0,lmjgp_transductive,102.87351593930379,39.849552154541016,0.875,156.89032686080745,88.35781709998264
bestpreset_same_split_seed0,Appliances Energy Prediction,0,lmjgp_transductive_residual_ridge,105.7848796835438,45.271297454833984,0.805,163.16832145748387,87.22650530000101
bestpreset_same_split_seed0,Appliances Energy Prediction,0,xgb_bootstrap,99.97672588146533,43.639198303222656,0.875,170.81917448550078,10.108233299979474
new_projected_refit,Appliances Energy Prediction,0,cemem_large_projected_final,115.4637617654404,45.852088928222656,0.65,82.22821686858158,32.99156910000602
new_projected_refit,Appliances Energy Prediction,0,cemem_large_raw_final,108.11273285310425,42.347755432128906,0.655,89.98527687268023,33.17583600000944
new_projected_refit,Appliances Energy Prediction,0,cemem_small_current,107.24128736588243,44.749393463134766,0.49,68.75838846316172,38.19809290001285
new_projected_refit,Appliances Energy Prediction,0,cluster_anchor_projected_final,120.62346954890488,48.27401351928711,0.64,84.2812944220813,33.71423339998
bestpreset_same_split_seed0,Parkinsons Telemonitoring,0,dkl_svgp,7.105870173514586,4.104738712310791,0.795,16.067398678539888,2.283023600000888
bestpreset_same_split_seed0,Parkinsons Telemonitoring,0,lmjgp_supervised,10.411681701046719,6.915775299072266,0.485,17.1354087279671,67.57297979999566
bestpreset_same_split_seed0,Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,10.201611259244292,6.565202236175537,0.555,20.589250893388808,71.10419539999566
bestpreset_same_split_seed0,Parkinsons Telemonitoring,0,lmjgp_transductive,9.626647866983555,6.137050151824951,0.61,20.056744445647432,71.4634764000075
bestpreset_same_split_seed0,Parkinsons Telemonitoring,0,lmjgp_transductive_residual_ridge,10.116073532586466,6.6259446144104,0.565,19.91461064709616,65.89761439998983
bestpreset_same_split_seed0,Parkinsons Telemonitoring,0,xgb_bootstrap,8.438477738345732,6.11039924621582,0.31,7.720720525595169,17.621447000012267
new_projected_refit,Parkinsons Telemonitoring,0,cemem_large_projected_final,10.584374974116011,7.074830532073975,0.52,16.30199946603061,40.72936379999737
new_projected_refit,Parkinsons Telemonitoring,0,cemem_large_raw_final,10.08258623344695,6.90402364730835,0.465,15.533036558677349,37.773532099992735
new_projected_refit,Parkinsons Telemonitoring,0,cemem_small_current,10.272564966098523,6.994329929351807,0.44,14.720724453907874,38.365006599982735
new_projected_refit,Parkinsons Telemonitoring,0,cluster_anchor_projected_final,10.336164452397558,6.9853291511535645,0.53,16.4408926839537,44.036642199993366
bestpreset_same_split_seed0,Wine Quality,0,dkl_svgp,0.7804383818384943,0.5593961477279663,0.22,0.5085814553270221,1.4083142000017688
bestpreset_same_split_seed0,Wine Quality,0,lmjgp_supervised,0.7135346796163484,0.3996134102344513,0.82,2.0049663868694507,44.1283742999949
bestpreset_same_split_seed0,Wine Quality,0,lmjgp_supervised_residual_ridge,0.6968397612006003,0.39499831199645996,0.805,1.8836693765852714,53.07276819998515
bestpreset_same_split_seed0,Wine Quality,0,lmjgp_transductive,0.7008608033954251,0.3984736204147339,0.835,2.0766669966461855,44.05749760000617
bestpreset_same_split_seed0,Wine Quality,0,lmjgp_transductive_residual_ridge,0.7118809029892164,0.4001103639602661,0.815,1.9485721594570071,44.48501989999204
bestpreset_same_split_seed0,Wine Quality,0,xgb_bootstrap,0.698256314247014,0.4131523072719574,0.61,1.2391746178952223,5.0560016999952495
new_projected_refit,Wine Quality,0,cemem_large_projected_final,0.7846282461149273,0.48944294452667236,0.61,1.349667510269014,16.570035000011558
new_projected_refit,Wine Quality,0,cemem_large_raw_final,0.779954305914229,0.47873687744140625,0.635,1.4027992841290984,18.206120799994096
new_projected_refit,Wine Quality,0,cemem_small_current,0.8322735260743106,0.5257608294487,0.53,0.9807962963321174,23.662841900018975
new_projected_refit,Wine Quality,0,cluster_anchor_projected_final,0.8528399901303109,0.527999997138977,0.62,1.3450099985916888,14.596659899980295
