n_test,oracle_knn_left_count_max,oracle_knn_left_count_mean,oracle_knn_left_count_median,oracle_knn_left_count_min,oracle_knn_left_count_p25,oracle_knn_left_count_p75,oracle_knn_near_count_max,oracle_knn_near_count_mean,oracle_knn_near_count_median,oracle_knn_near_count_min,oracle_knn_near_count_p25,oracle_knn_near_count_p75,oracle_knn_right_count_max,oracle_knn_right_count_mean,oracle_knn_right_count_median,oracle_knn_right_count_min,oracle_knn_right_count_p25,oracle_knn_right_count_p75,oracle_shock_d25_max,oracle_shock_d25_mean,oracle_shock_d25_median,oracle_shock_d25_min,oracle_shock_d25_p25,oracle_shock_d25_p75,raw_d1_max,raw_d1_mean,raw_d1_median,raw_d1_min,raw_d1_p25,raw_d1_p75,raw_d25_max,raw_d25_mean,raw_d25_median,raw_d25_min,raw_d25_p25,raw_d25_p75,raw_knn_left_count_max,raw_knn_left_count_mean,raw_knn_left_count_median,raw_knn_left_count_min,raw_knn_left_count_p25,raw_knn_left_count_p75,raw_knn_median_shock_absdiff_max,raw_knn_median_shock_absdiff_mean,raw_knn_median_shock_absdiff_median,raw_knn_median_shock_absdiff_min,raw_knn_median_shock_absdiff_p25,raw_knn_median_shock_absdiff_p75,raw_knn_near_count_max,raw_knn_near_count_mean,raw_knn_near_count_median,raw_knn_near_count_min,raw_knn_near_count_p25,raw_knn_near_count_p75,raw_knn_right_count_max,raw_knn_right_count_mean,raw_knn_right_count_median,raw_knn_right_count_min,raw_knn_right_count_p25,raw_knn_right_count_p75,subset
400,25.0,22.045,25.0,0.0,25.0,25.0,25.0,6.645,0.0,0.0,0.0,25.0,25.0,2.955,0.0,0.0,0.0,0.0,0.25196850299835205,0.008641730975359679,0.0,0.0,0.0,0.007874011993408203,6.425319194793701,1.3847303783497773,1.175510287284851,0.004608362913131714,0.612805649638176,1.9433079361915588,15.317747116088867,2.973495183624327,2.7449251413345337,0.1991146355867386,1.937135010957718,3.7719385027885437,25.0,22.175,24.0,0.0,22.0,25.0,0.960629940032959,0.10903543358668685,0.039370059967041016,0.0,0.015748031437397003,0.12007872946560383,25.0,5.8025,2.0,0.0,0.0,8.0,25.0,2.825,1.0,0.0,0.0,3.0,all
106,25.0,16.20754716981132,25.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,8.79245283018868,0.0,0.0,0.0,25.0,0.015748023986816406,0.007651162597368348,0.007874011993408203,0.0,0.0,0.015748023986816406,4.479912281036377,1.1723017405964575,1.0037159025669098,0.020984148606657982,0.40489228069782257,1.707708328962326,8.432463645935059,3.025658999270988,2.952999472618103,0.205780491232872,1.9930233657360077,3.837826132774353,25.0,17.830188679245282,20.0,0.0,14.25,23.0,0.5590551495552063,0.15280047649482512,0.047244101762771606,0.015748023986816406,0.03149604797363281,0.32677165418863297,25.0,16.07547169811321,18.0,0.0,9.0,22.75,25.0,7.169811320754717,5.0,0.0,2.0,10.75,near_threshold
294,25.0,24.14965986394558,25.0,0.0,25.0,25.0,8.0,0.027210884353741496,0.0,0.0,0.0,0.0,25.0,0.8503401360544217,0.0,0.0,0.0,0.0,0.25196850299835205,0.008998874676268117,0.0,0.0,0.0,0.007874011993408203,6.425319194793701,1.461320295362879,1.2037898302078247,0.004608362913131714,0.7180510610342026,2.067178249359131,15.317747116088867,2.954687821520429,2.7221884727478027,0.1991146355867386,1.9007587134838104,3.7368233799934387,25.0,23.741496598639454,25.0,0.0,24.0,25.0,0.960629940032959,0.09325620042933087,0.031496062874794006,0.0,0.015748031437397003,0.09448817372322083,18.0,2.098639455782313,1.0,0.0,0.0,3.0,25.0,1.2585034013605443,0.0,0.0,0.0,1.0,far_from_threshold
