dataset,seed,method,group,n,y_min,y_max,rmse,mean_crps,coverage_90,mean_width_90,mean_sigma
Parkinsons Telemonitoring,0,lmjgp_supervised_localgp_matern52,q50<y<=q90,80,21.977,32.646,6.469477014712425,3.703336238861084,0.9875,25.099088925349765,7.629581293463707
Parkinsons Telemonitoring,0,lmjgp_supervised_localgp_matern52,y>q90,20,32.659,37.658,13.396213968233326,9.147314071655273,0.4,25.800378000515614,7.84275803565979
Parkinsons Telemonitoring,0,lmjgp_supervised_hybrid_pls,y<=q50,100,5.1376,21.699,8.330817226083889,4.977209568023682,0.77,20.65239631605592,6.277882717847824
Parkinsons Telemonitoring,0,lmjgp_supervised_hybrid_pls,q50<y<=q90,80,21.977,32.646,6.039424102217778,3.3386504650115967,0.875,19.638497719862414,5.969679428637027
Parkinsons Telemonitoring,0,lmjgp_supervised_hybrid_pls,y>q90,20,32.659,37.658,12.055525285381403,7.759618282318115,0.65,23.69161632738196,7.201740002632141
Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,y<=q50,100,5.1376,21.699,8.5304143423581,5.019153118133545,0.75,20.523357983852645,6.238657850027084
Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,q50<y<=q90,80,21.977,32.646,5.996885378929664,3.347527265548706,0.9,20.756582090247015,6.30955294445157
Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,y>q90,20,32.659,37.658,12.89543641474073,8.55276107788086,0.6,20.92381914527631,6.360389399528503
Parkinsons Telemonitoring,0,lmjgp_supervised_hybrid_residual_ridge,y<=q50,100,5.1376,21.699,8.404885143552503,4.9891581535339355,0.74,19.050202346655414,5.7908503329753875
Parkinsons Telemonitoring,0,lmjgp_supervised_hybrid_residual_ridge,q50<y<=q90,80,21.977,32.646,6.566780196553074,3.6219375133514404,0.8875,19.95069799016443,6.064581572264433
Parkinsons Telemonitoring,0,lmjgp_supervised_hybrid_residual_ridge,y>q90,20,32.659,37.658,11.95249041774889,7.996563911437988,0.5,20.645003564304055,6.275635480880737
Appliances Energy Prediction,0,xgboost,y<=q50,114,20.0,60.0,42.164599895341595,22.84795379638672,0.9210526315789473,122.39918816569012,37.20671133289274
Appliances Energy Prediction,0,xgboost,q50<y<=q90,66,70.0,130.0,28.113683352268524,15.79966926574707,1.0,124.7738664215327,37.92856226750865
Appliances Energy Prediction,0,xgboost,y>q90,20,140.0,760.0,306.405085646399,236.630859375,0.1,126.32781742947336,38.400929833375486
Appliances Energy Prediction,0,lmjgp_supervised_base,y<=q50,114,20.0,60.0,43.54438777931989,18.96000099182129,0.956140350877193,128.41695857247248,39.03598364873264
Appliances Energy Prediction,0,lmjgp_supervised_base,q50<y<=q90,66,70.0,130.0,32.58366289487185,19.99979591369629,0.803030303030303,133.17217885922068,40.48146797901964
Appliances Energy Prediction,0,lmjgp_supervised_base,y>q90,20,140.0,760.0,323.31838035209404,246.6425323486328,0.2,154.14486931038866,46.85671320069879
Appliances Energy Prediction,0,lmjgp_supervised_localgp_rbf,y<=q50,114,20.0,60.0,37.02566790446207,24.617399215698242,1.0,256.5123843091114,77.9742282553508
Appliances Energy Prediction,0,lmjgp_supervised_localgp_rbf,q50<y<=q90,66,70.0,130.0,26.731242299031436,22.02174949645996,1.0,260.83928615894195,79.28951302565883
Appliances Energy Prediction,0,lmjgp_supervised_localgp_rbf,y>q90,20,140.0,760.0,315.0715573414796,226.4727783203125,0.2,259.3289833731696,78.83041357722603
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern32,y<=q50,114,20.0,60.0,36.34168734811507,24.7839412689209,1.0,260.79165627073996,79.27503456769108
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern32,q50<y<=q90,66,70.0,130.0,25.019887151975738,21.800376892089844,1.0,264.1079961281219,80.28313030430937
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern32,y>q90,20,140.0,760.0,315.1453155854691,225.5258026123047,0.2,262.5676738846231,79.81490558866902
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern52,y<=q50,114,20.0,60.0,36.50704200537639,24.716005325317383,1.0,259.41934037455246,78.85788015537688
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern52,q50<y<=q90,66,70.0,130.0,25.574350170725523,21.87287139892578,1.0,263.1500175442881,79.99192549187593
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern52,y>q90,20,140.0,760.0,315.1396928158425,225.7924346923828,0.2,261.5217542388985,79.49696859154449
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_pls,y<=q50,114,20.0,60.0,35.91380598846997,17.00301742553711,0.9385964912280702,113.68793098958952,34.55867717551734
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_pls,q50<y<=q90,66,70.0,130.0,39.59025553327316,21.739126205444336,0.8787878787878788,147.57784912556642,44.8604808073662
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_pls,y>q90,20,140.0,760.0,327.75419901162394,257.73553466796875,0.2,142.7109257423445,43.38104114675575
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,y<=q50,114,20.0,60.0,45.57526949243912,24.337093353271484,0.9035087719298246,132.0478752317786,40.13970394329633
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,q50<y<=q90,66,70.0,130.0,37.03785170260331,21.450641632080078,0.9090909090909091,132.56468110489052,40.29680177396161
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,y>q90,20,140.0,760.0,298.64633367728527,218.8916778564453,0.3,164.93979092925966,50.13813637477112
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_residual_ridge,y<=q50,114,20.0,60.0,49.552193518641516,24.641408920288086,0.8596491228070176,125.4652568063656,38.13873002149728
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_residual_ridge,q50<y<=q90,66,70.0,130.0,40.99970055241446,22.650300979614258,0.8939393939393939,145.6859257875269,44.28537694795899
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_residual_ridge,y>q90,20,140.0,760.0,303.30059650326245,232.3334197998047,0.1,135.24219129609781,41.110707080590544
