dataset,seed,method,top_abs_error_frac,n_points,sse_share,rmse_all,rmse_top,mean_y_top
Appliances Energy Prediction,0,xgboost,0.05,10,0.7803790149736213,103.25991124490987,407.9430479714177,485.0
Appliances Energy Prediction,0,xgboost,0.1,20,0.8927198214743977,103.25991124490987,308.52427204742617,336.5
Appliances Energy Prediction,0,xgboost,0.2,40,0.9406391370443292,103.25991124490987,223.9382457583131,202.0
Appliances Energy Prediction,0,lmjgp_supervised_base,0.05,10,0.7896137927274288,109.01661203370212,433.22652769931534,484.0
Appliances Energy Prediction,0,lmjgp_supervised_base,0.1,20,0.9094081078371884,109.01661203370212,328.7547920856412,340.5
Appliances Energy Prediction,0,lmjgp_supervised_base,0.2,40,0.9598964318144534,109.01661203370212,238.83054623130968,214.25
Appliances Energy Prediction,0,lmjgp_supervised_localgp_rbf,0.05,10,0.7921625833148191,104.61465598188732,416.40380727314385,485.0
Appliances Energy Prediction,0,lmjgp_supervised_localgp_rbf,0.1,20,0.9136748390447402,104.61465598188732,316.2192934337482,348.0
Appliances Energy Prediction,0,lmjgp_supervised_localgp_rbf,0.2,40,0.9504212139819086,104.61465598188732,228.05289731786215,202.25
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern32,0.05,10,0.8001742114077898,104.36016796879134,417.48612123043637,485.0
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern32,0.1,20,0.9165933813834456,104.36016796879134,315.95346888915645,346.0
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern32,0.2,40,0.9483849813238773,104.36016796879134,227.25429792442546,200.25
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern52,0.05,10,0.7979450660659485,104.43569209093408,417.2059022654365,485.0
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern52,0.1,20,0.9158903732378977,104.43569209093408,316.060844555309,346.0
Appliances Energy Prediction,0,lmjgp_supervised_localgp_matern52,0.2,40,0.9491838109945122,104.43569209093408,227.51451681038492,200.25
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_pls,0.05,10,0.794283857237519,109.5203473307902,436.5134987359476,484.0
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_pls,0.1,20,0.9170762519988493,109.5203473307902,331.6633905333338,339.0
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_pls,0.2,40,0.958970267183636,109.5203473307902,239.81833621925261,204.25
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,0.05,10,0.7831253454491937,102.74048876260902,406.6045790653115,484.0
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,0.1,20,0.8632190453897601,102.74048876260902,301.8576135893131,324.5
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,0.2,40,0.9228715504777206,102.74048876260902,220.69742125781593,204.75
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_residual_ridge,0.05,10,0.7423716509441363,105.60983104773665,406.9396762251319,484.0
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_residual_ridge,0.1,20,0.8631962727907943,105.60983104773665,310.28381751736225,320.5
Appliances Energy Prediction,0,lmjgp_supervised_hybrid_residual_ridge,0.2,40,0.9325299709788994,105.60983104773665,228.04510228679024,206.75
