dataset,seed,method,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,standardize_x,standardize_y,Q,n,R,best_elbo,train_time_sec,pred_time_sec,residual_scale,V_Rv
Wine Quality,0,lmjgp_full_transductive,1.0254483219471242,0.6512697339057922,2.7864130999951158,0.5,1.8942459733322285,0.75,2.257133294268938,1,0,3,12,nan,nan,1.7394861000066157,1.0469269999885,,
Wine Quality,0,lmjgp_lowrank_residual_pls_pca,0.6731459606125264,0.38284608721733093,1.7685890000138897,0.75,1.8821641400062077,1.0,2.242736901910243,1,0,3,12,10,-199.90633811543773,0.658840300020529,1.1097486999933608,1.0,10
