dataset,train_size,method,n,rmse_mean,rmse_std,crps_mean,crps_std,cov90_mean,cov90_std,width90_mean,width90_std,cov95_mean,cov95_std,width95_mean,width95_std
Parkinsons Telemonitoring,500,cem_em_transductive_gp_cond_ensemble,5,7.757259837442922,0.6860266080587206,4.324666261672974,0.5778080468983327,0.671875,0.05321683239352,12.875912130122085,0.9026227468054667,0.728125,0.05466517401417469,15.342595614367236,1.0755413408086347
Parkinsons Telemonitoring,500,cem_em_transductive_laplace_ensemble,5,7.792129952799726,0.6350937283454416,4.32393102645874,0.5410331406944564,0.671875,0.05762215285808055,13.42203931310089,1.0026057209188883,0.734375,0.05846339666834283,15.993346290341126,1.1946784026836759
Parkinsons Telemonitoring,500,cem_em_transductive_vi_fullcov_ensemble,5,7.470733537370734,0.3437123831193442,4.059175586700439,0.30069370006010354,0.76875,0.03878023014372143,14.609458431342455,0.5597686319467634,0.81875,0.032173844190584375,17.408243438740357,0.6670054649934414
Parkinsons Telemonitoring,500,lmjgp_lowrank_cem_mean_cem_svd,5,7.456878918902561,0.34894908896212834,4.02383942604065,0.24892172104697732,0.790625,0.050967207594687786,15.659395451044361,1.1276499861419436,0.83125,0.03878023014372142,18.65932056252371,1.3436778347879743
Parkinsons Telemonitoring,500,lmjgp_lowrank_cem_mean_pls_pca,5,7.021330930766463,0.6024642619279151,3.7762543678283693,0.42581751951165714,0.790625,0.0667317390751957,16.61582108241892,1.1134883550631387,0.85625,0.06510208329999893,19.798971994523384,1.3268032105527203
Parkinsons Telemonitoring,500,lmjgp_lowrank_pls_pca,5,7.413651377077514,0.3490374217649787,4.218355703353882,0.2469489994650449,0.884375,0.04485218779502288,23.700200824160483,0.9777974803334677,0.9375,0.029646353064078555,28.240531121187423,1.1651175607518933
Parkinsons Telemonitoring,500,lmjgp_supervised_reparam,5,7.5506304157861255,0.6447619073037884,4.268832445144653,0.4816743295780116,0.775,0.051916399143237965,17.837733347380556,0.571621761605382,0.825,0.04780330793993236,21.254970262303136,0.681129340123917
Wine Quality,200,cem_em_supervised_gp_cond_ensemble,5,0.7740729305495198,0.06613512237643263,0.4453741371631622,0.040140249798623844,0.8125,0.03423265984407288,1.998061106325645,0.08463048841232518,0.846875,0.028641098093474003,2.38083665509287,0.10084344683582301
Wine Quality,200,cem_em_supervised_laplace_ensemble,5,0.7831589121354238,0.07727707973986059,0.44727795720100405,0.04205337780997674,0.80625,0.03061862178478973,2.021059317571575,0.08072450363075376,0.85625,0.03336586953759785,2.408240714039082,0.09618917889939291
Wine Quality,200,cem_em_supervised_vi_fullcov_ensemble,5,0.7737034550857274,0.07970209883106916,0.4380488693714142,0.04113095585339029,0.80625,0.021194781197266463,2.0022706033565685,0.06275706340776274,0.85625,0.028641098093474003,2.3858525801809467,0.07477965336203159
Wine Quality,200,cem_em_transductive_gp_cond_ensemble,5,0.8452775999210956,0.09373386057209727,0.510320395231247,0.06234028632696779,0.634375,0.0667317390751957,1.3835453744983357,0.15166796624225296,0.68125,0.05466517401417469,1.6485959969699615,0.18072352856964724
Wine Quality,200,cem_em_transductive_laplace_ensemble,5,0.8219516920070744,0.07575406639928652,0.4790762305259705,0.04669204019618271,0.7125,0.05466517401417469,1.7206418903962242,0.10079176990624501,0.765625,0.02614562582918986,2.0502712704703234,0.12010080150439825
Wine Quality,200,cem_em_transductive_vi_fullcov_ensemble,5,0.7929924104328336,0.06759830343191263,0.4487300097942352,0.03151931731075814,0.76875,0.04352621336620037,1.7796258837027064,0.11133188236357838,0.815625,0.03186887195995491,2.120555033506016,0.13266012013973644
Wine Quality,200,lmjgp_lowrank_cem_mean_cem_svd,5,0.7624352206056062,0.06346953680189749,0.4327695667743683,0.036661008337435186,0.840625,0.03617449032121946,2.1363099116629045,0.05348259258719153,0.896875,0.028980057798424077,2.5455702672069846,0.06372843975485042
Wine Quality,200,lmjgp_lowrank_cem_mean_pls_pca,5,0.7708055020536051,0.08681164984393798,0.4323548138141632,0.042019169298896555,0.8625,0.026882266459508208,2.148912159499244,0.08369241473605721,0.896875,0.023385358667337135,2.5605867717024338,0.09972566310710454
Wine Quality,200,lmjgp_lowrank_pls_pca,5,0.7596689706740438,0.05405245845446653,0.4232997715473175,0.034458589705696596,0.884375,0.023385358667337132,2.194702566465731,0.09115888085426814,0.90625,0.01711632992203644,2.6151494069553243,0.10862250623265607
Wine Quality,200,lmjgp_supervised_reparam,5,0.7555362139595077,0.05421876771603907,0.42628740668296816,0.03099006056024236,0.859375,0.046351240544347895,2.154728778034469,0.04880127358204958,0.896875,0.032173844190584375,2.5675177001778016,0.05815030410807803
