dataset,train_size,method,n,n_neighbors,m_inducing,qr_train_anchor_count,qr_train_anchor_strategy,qr_train_n_neighbors,lowrank_rank,lowrank_qr_w_signal_var,split_type,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std,train_sec_mean,train_sec_std,pred_sec_mean,pred_sec_std,init_inlier_rate_mean,init_inlier_rate_std,final_inlier_rate_mean,final_inlier_rate_std,label_change_rate_mean,label_change_rate_std,mean_noise_var_mean,mean_noise_var_std
Appliances Energy Prediction,200,self_cem2_nstd0.1_kcov0.1,5,35,40,0,kmeans_yvar,35,,,random_row,121.31456201911983,17.068460493273797,50.254127502441406,7.803253085653801,165.6436198999989,6.563712291008486,0.727,0.030594117081556738,101.05592289344322,9.418519799582132,0.7739999999999999,0.030232432915661942,120.41555920249002,11.222858552509368,122.34542173999944,4.108327679371385,0.7621840799925849,0.0315539176599401,0.7532571428571428,0.024253827806457816,0.7919428571428572,0.016418655392508835,0.06942857142857144,0.014779743445896843,0.020586745122730742,0.0062269779509846485
Appliances Energy Prediction,1000,self_cem2_nstd0.1_kcov0.1,5,35,40,0,kmeans_yvar,35,,,random_row,102.86514822119746,4.12238942960882,39.76831588745117,2.4092418693526416,164.03364112000563,18.31912692521475,0.773,0.016613247725836167,98.57389714765199,12.201809827977225,0.828,0.008124038404635967,117.4580431106369,14.539353178413732,123.60616082000197,16.569768041648544,0.7183320799958892,0.06555300566722055,0.7790857142857143,0.020396198125120873,0.8230857142857143,0.02428984838762642,0.07291428571428571,0.005666658663459737,0.015465951871038436,0.0015633551949058707
Parkinsons Telemonitoring,200,self_cem2_nstd0.1_kcov0.1,5,25,40,0,kmeans_yvar,25,,,subject_grouped,10.185019384776247,0.8237612245424729,6.589381408691406,0.6969875178216165,146.54091172000045,3.7866980422470022,0.548,0.0555517776493246,16.19766712004525,0.8798122016202706,0.631,0.04851803788283283,19.30071081625425,1.0483608997662488,116.06740841999999,2.8254378594550342,0.7329927600047086,0.043944219558360864,0.6319600000000001,0.045500136263532207,0.6770799999999999,0.03447076442436401,0.06776000000000001,0.016245319325885844,0.09935811251098069,0.050801097927573535
Parkinsons Telemonitoring,1000,self_cem2_nstd0.1_kcov0.1,5,25,40,0,kmeans_yvar,25,,,subject_grouped,10.490027340016729,0.9025042080224435,7.16640157699585,0.9005883713778929,141.22174339998747,6.615304565196755,0.421,0.10480458005259123,12.872165385838192,0.6745729977950221,0.477,0.08958794561770014,15.33813109318712,0.8038033044143114,111.20121339999605,4.981766401800483,0.6835327599954326,0.05017306159038625,0.64488,0.028011597598137834,0.6842,0.025241869978272186,0.062119999999999995,0.001652150114245069,0.07484392984257754,0.017291409225259558
Wine Quality,200,self_cem2_nstd0.1_kcov0.1,5,25,40,0,kmeans_yvar,25,,,random_row,0.7987114279566797,0.04437453246721888,0.4587142288684845,0.026205403884245925,137.8314491600031,5.628699801260702,0.7849999999999999,0.023237900077244487,1.7955420800797106,0.05935697750935026,0.8300000000000001,0.02167948338867878,2.1395203512453285,0.07072820112577276,117.97431238000281,5.340866152558918,0.7643080400070176,0.041682510979030904,0.7881600000000001,0.015905420459704916,0.8129200000000001,0.017453297682673043,0.04692,0.0020769207977195474,0.2321937644623698,0.03911012171744201
Wine Quality,1000,self_cem2_nstd0.1_kcov0.1,5,25,40,0,kmeans_yvar,25,,,random_row,0.753894612882526,0.01648521328225339,0.42616553902626036,0.009529775763274932,134.65299872001052,11.823461823193231,0.784,0.009165151389911688,1.6851378808311472,0.06219532078551012,0.835,0.004472135954999583,2.007965633716927,0.07411029574251099,115.0361525800021,8.601230821070356,0.7407122000062373,0.0605011984946872,0.7933600000000001,0.01412311580353287,0.81904,0.012331034019902785,0.05136,0.004398908955638887,0.22966012327901683,0.01513945258721785
