dataset,method,n_seeds,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std
Wine Quality,dkl_svgp,1,0.6856666982893003,0.0,0.407529354095459,0.0,0.1519329000147991,0.0,0.5,0.0,1.5579972381311742,0.0,0.75,0.0,1.8564682137762438,0.0
Wine Quality,lmjgp_supervised,1,0.666540882352487,0.0,0.3698088824748993,0.0,3.628587899991544,0.0,0.85,0.0,1.876389564359767,0.0,0.85,0.0,2.2358560706267916,0.0
Wine Quality,lmjgp_supervised_residual_ridge,1,0.6363136072077356,0.0,0.35075071454048157,0.0,3.5348260999890044,0.0,0.8,0.0,1.6594721501080556,0.0,0.85,0.0,1.977383029265128,0.0
Wine Quality,lmjgp_transductive,1,0.703168725674982,0.0,0.39959749579429626,0.0,3.8709213999973144,0.0,0.8,0.0,1.9400963751951612,0.0,0.95,0.0,2.3117674178502496,0.0
Wine Quality,lmjgp_transductive_residual_ridge,1,0.6960544636410106,0.0,0.40552783012390137,0.0,4.0195815000042785,0.0,0.9,0.0,1.7065656286784006,0.0,0.9,0.0,2.0334983701028744,0.0
Wine Quality,xgb_bootstrap,1,0.6999787601576167,0.0,0.4247083067893982,0.0,0.6537223999912385,0.0,0.7,0.0,1.6750973835513676,0.0,0.85,0.0,1.9960016432847123,0.0
