dataset,seed,method,split_type,n,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,0,xgb_bootstrap,random_row,25,0.6999787601576167,0.4247083067893982,1.243647499999497,0.7,1.6750973835513676,0.85,1.9960016432847123
Wine Quality,0,dkl_svgp,random_row,25,0.6856666982893003,0.407529354095459,0.23796519999450538,0.5,1.5579972381311742,0.75,1.8564682137762438
Wine Quality,0,lmjgp_transductive,random_row,25,0.703168725674982,0.39959749579429626,7.960024899992277,0.8,1.9400963751951612,0.95,2.3117674178502496
Wine Quality,0,lmjgp_supervised,random_row,25,0.734831516171433,0.4192965626716614,9.153247800000827,0.8,1.9688131232684072,0.95,2.3459855337083697
