dataset,seed,method,Q,n_final,n_candidate,standardize_x,standardize_y,split_type,rmse,mean_crps,wall_sec,coverage_90,width_90,coverage_95,width_95
Wine Quality,0,cemem_small_current,3,25,20,True,False,random_row,1.0970743972921702,0.7080447673797607,3.029178699973272,0.5833333333333334,1.4290269207851782,0.5833333333333334,1.7027906020234316
Wine Quality,0,cemem_large_raw_final,3,25,20,True,False,random_row,1.02663140017502,0.6198012232780457,2.8275573999853805,0.5,1.5541798018697766,0.5833333333333334,1.8519194579094478
Wine Quality,0,cemem_large_projected_final,3,25,20,True,False,random_row,0.901879026395118,0.5444925427436829,2.6674302000028547,0.5833333333333334,1.2504817979812264,0.5833333333333334,1.490040966081904
Wine Quality,0,cluster_anchor_projected_final,3,25,20,True,False,random_row,1.190638597569975,0.7988340258598328,1.0691871999879368,0.4166666666666667,0.8593992902464621,0.5,1.0240374156235146
