dataset,method,n_seeds,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std
Appliances Energy Prediction,dkl_svgp,5,110.3784309293936,8.42855615850133,51.08631439208985,4.326891394301165,1.3279207200102974,0.06926787486664382,0.589,0.03367491648096549,63.23305532874711,10.824326568796996,0.658,0.016309506430300106,75.34683271876892,12.897980637378648
Appliances Energy Prediction,lmjgp_supervised,5,106.53656283271921,6.210784090523916,42.116991424560545,3.506710134153769,81.93586465999833,2.424886476832581,0.8140000000000001,0.011135528725660017,135.30964282575374,13.814298590673763,0.8469999999999999,0.016309506430300106,161.23138396878159,16.460752048547988
Appliances Energy Prediction,lmjgp_supervised_residual_ridge,5,100.67853700008281,8.352232458317866,42.08302307128906,3.8912878426476043,79.28241312000318,1.5301105594812798,0.8099999999999999,0.016124515496597068,142.78167800513773,21.550051461197338,0.8559999999999999,0.01019803902718558,170.13486304001754,25.678470130629847
Appliances Energy Prediction,lmjgp_transductive,5,105.12582991801594,9.135730367521754,41.72765121459961,5.516972151829881,82.53048992000404,1.8996170545931625,0.8240000000000001,0.03512833614050058,145.12417509361916,22.400359347658302,0.8559999999999999,0.028530685235374196,172.92612048206885,26.691674470472933
Appliances Energy Prediction,lmjgp_transductive_residual_ridge,5,98.32629028813365,6.951703559627457,41.054623413085935,3.730115109661799,80.78790657999343,1.8546450106222696,0.8019999999999999,0.02420743687382038,143.01003285069976,16.506307039841577,0.849,0.017720045146669368,170.40696462137598,19.668477964090528
Appliances Energy Prediction,xgb_bootstrap,5,96.24355679461135,8.164977647682347,41.26602020263672,4.4359021787301485,5.471233559999382,0.5666233358622942,0.8780000000000001,0.03140063693621519,167.39442230215568,24.008479603695967,0.905,0.017888543819998333,199.4627567762253,28.607867943861013
Wine Quality,dkl_svgp,5,0.759417547051156,0.03930556501898927,0.5155158102512359,0.02757461834265215,1.6722525199991651,0.47129097357683075,0.281,0.045321076774498634,0.5019657405817691,0.025113470929536356,0.31799999999999995,0.044,0.5981290717257659,0.029924546319608218
Wine Quality,lmjgp_supervised,5,0.7271514015927207,0.01584591967919496,0.4058877885341644,0.00882883462824033,45.806590439996214,5.388308260228246,0.841,0.01984943324127919,1.9969495465937501,0.07721829334959075,0.889,0.02922327839240494,2.3795121499785665,0.09201127166150673
Wine Quality,lmjgp_supervised_residual_ridge,5,0.7240610090285499,0.025609309896792793,0.40289061665534975,0.012865783676910594,65.58092182000982,27.22980805884781,0.808,0.007483314773547848,1.9009493131164958,0.0324824968027965,0.874,0.007348469228349541,2.2651208162818537,0.038705282231959404
Wine Quality,lmjgp_transductive,5,0.7307078157599027,0.01242379679550616,0.41139993667602537,0.006114094078149879,56.55325723999995,22.383881332216994,0.85,0.01140175425099139,2.0427986798743456,0.06904288562660835,0.89,0.014491376746189452,2.4341447619507903,0.08226967251041778
Wine Quality,lmjgp_transductive_residual_ridge,5,0.7213190666232695,0.019984507283332377,0.4027008891105652,0.013830698123779765,51.88032535999664,15.177190828426037,0.828,0.021118712081942867,1.9476781449557432,0.04421293078774362,0.885,0.027018512172212617,2.320801653739894,0.052682956449775664
Wine Quality,xgb_bootstrap,5,0.6889652834440315,0.015365413597670782,0.3968637704849243,0.016109567182371193,7.062295339989942,3.2060279086457726,0.6970000000000001,0.03893584466786355,1.3314683139260475,0.05041792774205148,0.7700000000000001,0.0268328157299975,1.586542351910025,0.060076666355236334
