dataset,dataset_folder,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,near_threshold,threshold_distance,shock_location,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,0.0,0.11753491644957136,0.20100802046876676,0.0834731040191954,0.07949713617563248,0.09726434201002121,0.017767205834388733,0.22095878422260284,1,0.09842519462108612,0.4015747904777527,0,,nan,nan,208.27691650390625,3.000000238418579,1.5569453239440918,500.4041290283203,1362.8619384765625
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,1.0,-0.05061300410819232,-0.030376703389633615,0.020236300718558704,0.2538348436355591,0.33662162721157074,0.08278678357601166,0.4517894685268402,1,0.08267716318368912,0.4173228442668915,1,,nan,nan,208.27691650390625,3.000000238418579,1.001755714416504,42.99245834350586,214.3416290283203
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,2.0,0.10130759207098465,0.07657664647257417,-0.024730945598410478,0.10907306522130966,0.12236202880740166,0.013288963586091995,0.11910813301801682,0,0.5,0.0,2,,nan,nan,208.27691650390625,3.000000238418579,1.0000008344650269,40.31729316711426,147.63694763183594
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,3.0,-0.14871566062332772,-0.10627488978681687,0.04244077083651085,0.36835718154907227,0.4114820510149002,0.04312486946582794,0.33954161405563354,0,0.4763779640197754,0.023622047156095505,3,,nan,nan,208.27691650390625,3.000000238418579,3.037978172302246,20.4321870803833,122.79890441894531
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,4.0,0.127426472381592,0.11823350791523451,-0.009192964466357478,0.730478048324585,0.643429309129715,-0.08704873919487,0.744386613368988,1,0.019685039296746254,0.4803149700164795,4,,nan,nan,208.27691650390625,3.000000238418579,1.0,56.77858924865723,981.6360473632812
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,5.0,0.23538230100283608,0.19338680733576252,-0.04199549366707356,0.826001763343811,0.8159209489822388,-0.010080814361572266,0.981376051902771,1,0.019685039296746254,0.4803149700164795,5,,nan,nan,208.27691650390625,3.000000238418579,1.0004104375839233,259.7820281982422,1248.7431640625
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,6.0,0.05575104385707831,0.07871608374346852,0.022965039886390204,0.10389061272144318,0.10493645071983337,0.0010458379983901978,0.11303769052028656,0,0.4842519760131836,0.015748031437397003,6,,nan,nan,208.27691650390625,3.000000238418579,1.1969232559204102,55.34071159362793,112.82721710205078
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,7.0,-0.056947952456546665,-0.04108891759377736,0.0158590348627693,0.5085366368293762,0.3754580616950989,-0.13307857513427734,0.3263779580593109,0,0.33464565873146057,0.16535432636737823,7,,nan,nan,208.27691650390625,3.000000238418579,1.0,8.765194416046143,165.57113647460938
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,8.0,0.4663332832289088,0.28729721572491973,-0.1790360675039891,0.10365380346775055,0.32831911742687225,0.2246653139591217,0.6050575971603394,1,0.04330708831548691,0.4566929042339325,8,,nan,nan,208.27691650390625,3.000000238418579,1.55836021900177,659.3699951171875,1531.363525390625
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,9.0,0.3967571902408332,0.25507715733266967,-0.14168003290816356,0.5392013788223267,0.4837617874145508,-0.05543959140777588,0.4496646225452423,1,0.019685039296746254,0.4803149700164795,9,,nan,nan,208.27691650390625,3.000000238418579,1.5562996864318848,547.0457458496094,1297.580810546875
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,10.0,0.32142637247576494,0.26446544694267915,-0.05696092553308579,3.483139753341675,3.483140230178833,4.76837158203125e-07,2.840047836303711,0,0.4921259880065918,0.9921259880065918,10,,nan,nan,208.27691650390625,3.000000238418579,274.999755859375,547.6078491210938,563.27978515625
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,11.0,0.16716206814109305,0.1340203083862139,-0.03314175975487915,0.8588279485702515,0.6130594611167908,-0.2457684874534607,1.0011377334594727,1,0.06692913174629211,0.5669291615486145,11,,nan,nan,208.27691650390625,3.000000238418579,1.0012866258621216,126.61138916015625,1573.3028564453125
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,12.0,0.2318297707816553,0.14212816784771615,-0.08970160293393914,0.07405859231948853,0.06799793988466263,-0.006060652434825897,0.08427847176790237,0,0.374015748500824,0.12598425149917603,12,,nan,nan,208.27691650390625,3.000000238418579,1.0000609159469604,30.33190155029297,187.6455078125
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,13.0,0.12127899223105469,0.08604661038600361,-0.03523238184505108,0.04955786094069481,0.05225804261863232,0.0027001816779375076,0.05583344027400017,1,0.09842519462108612,0.4015747904777527,13,,nan,nan,208.27691650390625,3.000000238418579,1.0075122117996216,257.4364700317383,1727.8311767578125
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,14.0,0.3919253988155427,0.31507770652702793,-0.07684769228851479,0.17122548818588257,0.19961921125650406,0.02839372307062149,0.19979189336299896,0,0.27952754497528076,0.22047244012355804,14,,nan,nan,208.27691650390625,3.000000238418579,1.0,17.066110610961914,115.66694641113281
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,15.0,0.05417142530527586,0.03069305401905851,-0.023478371286217353,0.050967395305633545,0.057371655479073524,0.0064042601734399796,0.06740449368953705,0,0.4842519760131836,0.015748031437397003,15,,nan,nan,208.27691650390625,3.000000238418579,1.0119825601577759,45.02425193786621,135.9342041015625
