dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Parkinsons Telemonitoring,0,lmjgp_transductive,subject_grouped,25,raw,200,0,9.492716580697454,6.310917854309082,64.55388019999373,0.495,18.495113160172355,0.62,22.03828662317809
Parkinsons Telemonitoring,0,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.829718860744645,6.5889716148376465,63.30686750001041,0.54,18.006468422203305,0.59,21.456030505088503
Parkinsons Telemonitoring,0,lmjgp_supervised,subject_grouped,25,raw,200,0,9.561230783925495,6.379427433013916,61.429365599993616,0.54,18.812149979557233,0.6,22.416059294001784
Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,10.176035794355377,6.797472953796387,62.589940400008345,0.51,17.63288626619413,0.615,21.01087990989429
Parkinsons Telemonitoring,1,lmjgp_transductive,subject_grouped,25,raw,200,0,7.804400157301884,4.640087604522705,62.05980889999773,0.78,22.301472520166804,0.855,26.57384354785888
Parkinsons Telemonitoring,1,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,7.575965987025015,4.5141921043396,63.982827600004384,0.77,21.198305066839726,0.815,25.259338450256273
Parkinsons Telemonitoring,1,lmjgp_supervised,subject_grouped,25,raw,200,0,7.740980494828136,4.608880519866943,60.753713899990544,0.775,22.425450884216076,0.87,26.721572880376517
Parkinsons Telemonitoring,1,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,7.709491345610695,4.581237316131592,61.920888600026956,0.785,22.169931970054396,0.855,26.41710331486639
Parkinsons Telemonitoring,2,lmjgp_transductive,subject_grouped,25,raw,200,0,9.106103222105876,5.395315647125244,63.47899159998633,0.705,19.84737676724292,0.75,23.64960809521369
Parkinsons Telemonitoring,2,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.457327390436381,6.36759090423584,66.78114330000244,0.58,18.117587225956996,0.67,21.588436726404407
Parkinsons Telemonitoring,2,lmjgp_supervised,subject_grouped,25,raw,200,0,8.924121998222423,5.243131637573242,67.61936219999916,0.695,19.469533501543264,0.74,23.199380074654282
Parkinsons Telemonitoring,2,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,10.321121368447807,6.084448337554932,64.94110739999451,0.61,18.215079761019016,0.71,21.704606247115624
Parkinsons Telemonitoring,3,lmjgp_transductive,subject_grouped,25,raw,200,0,10.142028188412104,6.556805610656738,61.48203710000962,0.58,20.19389687152554,0.665,24.062512266858274
Parkinsons Telemonitoring,3,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.324465769483568,6.764537811279297,62.68263980001211,0.515,18.120643636811586,0.615,21.59207866456766
Parkinsons Telemonitoring,3,lmjgp_supervised,subject_grouped,25,raw,200,0,9.358550288787518,5.948407173156738,61.337971700006165,0.61,19.320361521605605,0.71,23.021630697208323
Parkinsons Telemonitoring,3,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,10.458183991637684,6.797647476196289,61.93545799999265,0.545,19.016190286150195,0.665,22.659188315188857
Parkinsons Telemonitoring,4,lmjgp_transductive,subject_grouped,25,raw,200,0,9.591554659857895,6.278406143188477,59.31306410001707,0.58,18.441006255056745,0.635,21.973814269161966
Parkinsons Telemonitoring,4,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.07161686873459,6.619041919708252,65.28133359999629,0.51,17.349083526173835,0.605,20.672708087162263
Parkinsons Telemonitoring,4,lmjgp_supervised,subject_grouped,25,raw,200,0,9.462488272164775,6.085374355316162,62.25011490000179,0.605,19.229697619687656,0.68,22.913597994756618
Parkinsons Telemonitoring,4,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.983915069767576,6.730774402618408,65.22711750000599,0.45,15.816489591391472,0.515,18.846509776334337
