dataset,seed,method,metric,value
Wine Quality,3,pls_only,rmse,0.702616389219836
Wine Quality,3,pls_only,crps,0.3868570625782013
Wine Quality,3,pls_only,wall_sec,19.636829200004286
Wine Quality,3,pls_only,cov90,0.815
Wine Quality,3,pls_only,w90,1.5327080101749566
Wine Quality,3,pls_only,cov95,0.83
Wine Quality,3,pls_only,w95,1.8263342400421345
Wine Quality,3,cem_em_coeff,rmse,0.7226040160831649
Wine Quality,3,cem_em_coeff,crps,0.4062354266643524
Wine Quality,3,cem_em_coeff,wall_sec,21.64958949999709
Wine Quality,3,cem_em_coeff,cov90,0.735
Wine Quality,3,cem_em_coeff,w90,1.353122766293549
Wine Quality,3,cem_em_coeff,cov95,0.78
Wine Quality,3,cem_em_coeff,w95,1.61234522339343
Wine Quality,4,xgb_bootstrap,rmse,0.6546203912076722
Wine Quality,4,xgb_bootstrap,crps,0.3584078550338745
Wine Quality,4,xgb_bootstrap,wall_sec,7.156578199996147
Wine Quality,4,xgb_bootstrap,cov90,0.84
Wine Quality,4,xgb_bootstrap,w90,1.664715719702403
Wine Quality,4,xgb_bootstrap,cov95,0.875
Wine Quality,4,xgb_bootstrap,w95,1.983631127811379
Wine Quality,4,dkl_svgp,rmse,0.7073836922645569
Wine Quality,4,dkl_svgp,crps,0.4121626317501068
Wine Quality,4,dkl_svgp,wall_sec,8.399009900000237
Wine Quality,4,dkl_svgp,cov90,0.615
Wine Quality,4,dkl_svgp,w90,1.0880109223096879
Wine Quality,4,dkl_svgp,cov95,0.675
Wine Quality,4,dkl_svgp,w95,1.296444976970652
Wine Quality,4,pls_only,rmse,0.7689955311308351
Wine Quality,4,pls_only,crps,0.3996243178844452
Wine Quality,4,pls_only,wall_sec,19.294413700001314
Wine Quality,4,pls_only,cov90,0.805
Wine Quality,4,pls_only,w90,1.436094667315144
Wine Quality,4,pls_only,cov95,0.845
Wine Quality,4,pls_only,w95,1.7112123414558116
Wine Quality,4,cem_em_coeff,rmse,0.7775910781374411
Wine Quality,4,cem_em_coeff,crps,0.42108696699142456
Wine Quality,4,cem_em_coeff,wall_sec,20.439140299997234
Wine Quality,4,cem_em_coeff,cov90,0.745
Wine Quality,4,cem_em_coeff,w90,1.3995327935261686
Wine Quality,4,cem_em_coeff,cov95,0.79
