dataset,seed,method,metric,value
Wine Quality,2,cem_em_supervised,mean_width_95,2.058923160161405
Wine Quality,3,lmjgp_transductive,rmse,0.6657494535175771
Wine Quality,3,lmjgp_transductive,mean_crps,0.35959240794181824
Wine Quality,3,lmjgp_transductive,wall_sec,134.11194350000005
Wine Quality,3,lmjgp_transductive,coverage_90,0.8738461538461538
Wine Quality,3,lmjgp_transductive,mean_width_90,1.8767680126863455
Wine Quality,3,lmjgp_transductive,coverage_95,0.9153846153846154
Wine Quality,3,lmjgp_transductive,mean_width_95,2.2363070196218566
Wine Quality,3,cem_em_transductive,rmse,0.721037835076984
Wine Quality,3,cem_em_transductive,mean_crps,0.3823015093803406
Wine Quality,3,cem_em_transductive,wall_sec,49.44216650000453
Wine Quality,3,cem_em_transductive,coverage_90,0.7553846153846154
Wine Quality,3,cem_em_transductive,mean_width_90,1.2386091548946259
Wine Quality,3,cem_em_transductive,coverage_95,0.7923076923076923
Wine Quality,3,cem_em_transductive,mean_width_95,1.4758938392678524
Wine Quality,3,lmjgp_supervised,rmse,0.688909547326627
Wine Quality,3,lmjgp_supervised,mean_crps,0.36433669924736023
Wine Quality,3,lmjgp_supervised,wall_sec,124.81151999999565
Wine Quality,3,lmjgp_supervised,coverage_90,0.8707692307692307
Wine Quality,3,lmjgp_supervised,mean_width_90,1.8801604439479223
Wine Quality,3,lmjgp_supervised,coverage_95,0.9123076923076923
Wine Quality,3,lmjgp_supervised,mean_width_95,2.240349350795751
Wine Quality,3,cem_em_supervised,rmse,0.6964110895153066
Wine Quality,3,cem_em_supervised,mean_crps,3.740734436130245e+22
Wine Quality,3,cem_em_supervised,wall_sec,124.78905780000059
Wine Quality,3,cem_em_supervised,coverage_90,0.8538461538461538
Wine Quality,3,cem_em_supervised,mean_width_90,5.2658046277947064e+23
Wine Quality,3,cem_em_supervised,coverage_95,0.8969230769230769
Wine Quality,3,cem_em_supervised,mean_width_95,6.274593222760034e+23
Wine Quality,4,lmjgp_transductive,rmse,0.6777871038432935
Wine Quality,4,lmjgp_transductive,mean_crps,0.3607000410556793
Wine Quality,4,lmjgp_transductive,wall_sec,127.10959749999893
Wine Quality,4,lmjgp_transductive,coverage_90,0.8569230769230769
Wine Quality,4,lmjgp_transductive,mean_width_90,1.8749052177287089
Wine Quality,4,lmjgp_transductive,coverage_95,0.9015384615384615
Wine Quality,4,lmjgp_transductive,mean_width_95,2.234087362524273
Wine Quality,4,cem_em_transductive,rmse,0.7380420161063393
Wine Quality,4,cem_em_transductive,mean_crps,0.4051663875579834
Wine Quality,4,cem_em_transductive,wall_sec,159.00333410000167
Wine Quality,4,cem_em_transductive,coverage_90,0.7338461538461538
Wine Quality,4,cem_em_transductive,mean_width_90,1.2166895662051138
Wine Quality,4,cem_em_transductive,coverage_95,0.7769230769230769
Wine Quality,4,cem_em_transductive,mean_width_95,1.4497750383706574
Wine Quality,4,lmjgp_supervised,rmse,0.6830495654309121
Wine Quality,4,lmjgp_supervised,mean_crps,0.36127930879592896
Wine Quality,4,lmjgp_supervised,wall_sec,377.5987568000055
Wine Quality,4,lmjgp_supervised,coverage_90,0.8661538461538462
Wine Quality,4,lmjgp_supervised,mean_width_90,1.8627560721922558
Wine Quality,4,lmjgp_supervised,coverage_95,0.8984615384615384
Wine Quality,4,lmjgp_supervised,mean_width_95,2.219610762719756
Wine Quality,4,cem_em_supervised,rmse,0.6861578014784122
Wine Quality,4,cem_em_supervised,mean_crps,0.3661777377128601
Wine Quality,4,cem_em_supervised,wall_sec,397.7652369999996
Wine Quality,4,cem_em_supervised,coverage_90,0.8461538461538461
Wine Quality,4,cem_em_supervised,mean_width_90,1.7461521463956846
Wine Quality,4,cem_em_supervised,coverage_95,0.88
Wine Quality,4,cem_em_supervised,mean_width_95,2.080668615362347
Wine Quality,5,lmjgp_transductive,rmse,0.6792118467821981
Wine Quality,5,lmjgp_transductive,mean_crps,0.3601873815059662
Wine Quality,5,lmjgp_transductive,wall_sec,398.1045909000022
Wine Quality,5,lmjgp_transductive,coverage_90,0.8738461538461538
Wine Quality,5,lmjgp_transductive,mean_width_90,1.8055676217333656
Wine Quality,5,lmjgp_transductive,coverage_95,0.9107692307692308
Wine Quality,5,lmjgp_transductive,mean_width_95,2.1514665209498562
Wine Quality,5,cem_em_transductive,rmse,0.6980997905621087
Wine Quality,5,cem_em_transductive,mean_crps,0.368240088224411
Wine Quality,5,cem_em_transductive,wall_sec,163.8378459000014
Wine Quality,5,cem_em_transductive,coverage_90,0.7538461538461538
Wine Quality,5,cem_em_transductive,mean_width_90,1.1419508759495065
Wine Quality,5,cem_em_transductive,coverage_95,0.7923076923076923
Wine Quality,5,cem_em_transductive,mean_width_95,1.3607183960333225
Wine Quality,5,lmjgp_supervised,rmse,0.6878691988502783
Wine Quality,5,lmjgp_supervised,mean_crps,0.36718642711639404
Wine Quality,5,lmjgp_supervised,wall_sec,383.4195247000025
Wine Quality,5,lmjgp_supervised,coverage_90,0.8723076923076923
Wine Quality,5,lmjgp_supervised,mean_width_90,1.8115761771483694
Wine Quality,5,lmjgp_supervised,coverage_95,0.9138461538461539
Wine Quality,5,lmjgp_supervised,mean_width_95,2.1586261563238236
Wine Quality,5,cem_em_supervised,rmse,0.6871494666754121
