train_size,dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,standardize_x,standardize_y,source_artifact
200,Wine Quality,4,dkl_svgp,random_row,25,raw,200,0,0.99479897943718,0.6904056668281555,1.6695469999976922,0.205,0.4828019961893304,0.245,0.5752940618484893,true,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Wine Quality,4,lmjgp_transductive,random_row,25,raw,200,0,0.8114981976000818,0.4519880414009094,109.84474489999411,0.825,2.245243989349929,0.88,2.675373226848667,true,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Wine Quality,4,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.8037019634661752,0.44270896911621094,95.83029499999247,0.795,2.019364362301546,0.86,2.4062210502646098,true,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Wine Quality,4,lmjgp_supervised,random_row,25,raw,200,0,0.8063154325283529,0.44821545481681824,105.85777889999736,0.83,2.173468847398129,0.9,2.5898478701204186,true,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Wine Quality,4,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.8006300315262218,0.44743457436561584,118.6727891000046,0.8,1.9903814824065347,0.86,2.371685818781578,true,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,0,xgb_bootstrap,subject_grouped,25,raw,200,0,7.828203536336295,5.262631416320801,12.133400099992286,0.43,10.526721548463398,0.495,12.543362383258842,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,0,dkl_svgp,subject_grouped,25,raw,200,0,6.641559850208215,3.8545408248901367,1.6581146999960765,0.79,16.05200233306896,0.815,19.127140516981864,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,0,lmjgp_transductive,subject_grouped,25,raw,200,0,8.537232845678142,5.351074695587158,66.6150344000198,0.68,22.301965467932344,0.755,26.57443093135057,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,0,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,8.808524777935405,5.462689399719238,64.99370630001067,0.71,22.94705423304639,0.81,27.343101605590604,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,0,lmjgp_supervised,subject_grouped,25,raw,200,0,8.34973603266713,5.121851921081543,70.66824150001048,0.715,22.997234638686887,0.775,27.402895246905217,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,8.75959459403955,5.467884540557861,64.97443729999941,0.685,21.821851756359756,0.76,26.002340158197605,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,1,xgb_bootstrap,subject_grouped,25,raw,200,0,9.648273403136132,6.952994346618652,12.0379513999942,0.29,9.81743307972994,0.325,11.698193043818186,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,1,dkl_svgp,subject_grouped,25,raw,200,0,6.179192909721069,3.6028497219085693,1.70587110001361,0.865,16.6855568510702,0.895,19.88206728808093,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,1,lmjgp_transductive,subject_grouped,25,raw,200,0,8.088973049813514,4.708174228668213,68.55519439998898,0.835,24.7501320846859,0.895,29.491601382488717,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,1,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.03858233213653,5.155526638031006,76.84132830001181,0.785,22.501160730687264,0.84,26.811786726719557,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,1,lmjgp_supervised,subject_grouped,25,raw,200,0,7.802796067636778,4.530413627624512,65.96400819998235,0.84,24.739820199950636,0.91,29.479314013957755,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,1,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.141862133708356,5.123265266418457,68.26462690002518,0.78,22.5296236165143,0.845,26.845702347053784,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,2,xgb_bootstrap,subject_grouped,25,raw,200,0,10.38745405820105,7.151419639587402,12.129108100009034,0.36,9.425180416285318,0.415,11.230795166831255,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,2,dkl_svgp,subject_grouped,25,raw,200,0,8.957652509962463,5.942707061767578,1.7925074999948265,0.48,14.303187687295209,0.525,17.04329933793096,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,2,lmjgp_transductive,subject_grouped,25,raw,200,0,9.25673488901653,5.586343288421631,68.44219080000767,0.705,22.661913852178536,0.79,27.003335885479192,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,2,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.420680407581994,5.849218845367432,68.04391189999296,0.655,20.953126990856664,0.775,24.96719075343278,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,2,lmjgp_supervised,subject_grouped,25,raw,200,0,8.97695552425209,5.394313335418701,67.7549721999967,0.72,22.492432528321903,0.82,26.80138643212459,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,2,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.171562234320877,5.576572418212891,68.65075899998192,0.74,21.605798842396354,0.795,25.74489723246565,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
