dataset,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
Wine Quality,0,lmjgp_transductive,0.0,-0.10596128081957278,-0.07478390931679892,0.03117737150277386,0.5,0.4000000059604645,-0.09999999403953552,0.3199999928474426,0,,596737.5,1.0000007152557373,27.24637794494629,2.9234414100646973,9.000064849853516,31.030725479125977,38.658836364746094
Wine Quality,0,lmjgp_transductive,1.0,-0.050667562615889145,-0.011420264257263607,0.03924729835862554,0.5,0.4000000059604645,-0.09999999403953552,0.4000000059604645,1,,1391059.875,1.0000001192092896,25.399232864379883,2.9850592613220215,2.0674121379852295,31.52741813659668,34.04273223876953
Wine Quality,0,lmjgp_transductive,2.0,0.029681428876856628,0.02228976666540792,-0.0073916622114487095,0.4000000059604645,0.4000000059604645,0.0,0.47999998927116394,2,,74195.578125,1.0000001192092896,25.090824127197266,2.991201639175415,9.000271797180176,34.12724304199219,42.355613708496094
Wine Quality,0,lmjgp_transductive,3.0,0.3367662913224488,0.13091110111068666,-0.20585519021176213,1.2999999523162842,1.2000000476837158,-0.09999990463256836,1.1200000047683716,3,,826238173184.0,0.9999999403953552,24.60181999206543,2.997781753540039,1.0,1.025158703327179,1.2254616022109985
Wine Quality,0,lmjgp_transductive,4.0,0.21512254254345986,0.10293175115565631,-0.11219079138780355,0.5,0.6500000059604645,0.15000000596046448,0.9200000166893005,4,,3966153.75,1.0,32.78797149658203,2.632734775543213,1.1673330068588257,26.266454696655273,25.469804763793945
Wine Quality,0,lmjgp_transductive,5.0,-0.04488703958759731,0.05941600476010249,0.1043030443476998,1.2000000476837158,1.100000023841858,-0.10000002384185791,1.2799999713897705,5,,2518.83349609375,1.0000064373016357,30.83867645263672,2.7404706478118896,1.251943588256836,30.75622844696045,26.028148651123047
Wine Quality,0,lmjgp_transductive,6.0,0.17992275805243726,0.12209282050756567,-0.05782993754487159,1.100000023841858,0.949999988079071,-0.15000003576278687,1.159999966621399,6,,765788422144.0,0.9999998807907104,24.800670623779297,2.995600461959839,1.0,1.0482903122901917,1.3646924495697021
Wine Quality,0,lmjgp_transductive,7.0,0.2500629037259817,0.1530128631865241,-0.09705004053945762,0.30000001192092896,0.4000000059604645,0.09999999403953552,0.4000000059604645,7,,2982525.75,1.0000001192092896,26.356666564941406,2.9577271938323975,9.000162124633789,37.669179916381836,39.61562728881836
Wine Quality,0,lmjgp_transductive,8.0,0.10476400413059278,0.04019797076531681,-0.06456603336527597,0.20000000298023224,0.3500000089406967,0.15000000596046448,0.3199999928474426,8,,837140.9375,1.0,28.55389404296875,2.862492561340332,8.999988555908203,34.43498992919922,41.98802185058594
Wine Quality,0,lmjgp_transductive,9.0,-0.03868922344569741,-0.06571249067183066,-0.027023267226133248,0.30000001192092896,0.5,0.19999998807907104,0.36000001430511475,9,,48320.703125,1.0000008344650269,30.561452865600586,2.7558016777038574,1.2455986738204956,38.451290130615234,38.12529754638672
Wine Quality,0,lmjgp_transductive,10.0,0.2100812502272743,0.10206454027393802,-0.10801670995333629,0.8999999761581421,0.8499999940395355,-0.04999998211860657,0.8399999737739563,10,,717860.25,0.9999999403953552,27.562685012817383,2.909666061401367,1.1993296146392822,29.454899787902832,41.187931060791016
Wine Quality,0,lmjgp_transductive,11.0,0.2404116316170105,0.133830701408931,-0.10658093020807952,0.6000000238418579,0.8499999940395355,0.2499999701976776,0.8799999952316284,11,,4678542.5,1.0,25.449024200439453,2.9839346408843994,1.1465071439743042,28.21299171447754,42.821083068847656
Wine Quality,0,lmjgp_transductive,12.0,0.08269584275498691,0.04767259196114715,-0.035023250793839764,1.0,0.8999999761581421,-0.10000002384185791,0.9599999785423279,12,,33290.37890625,1.000002384185791,23.322086334228516,2.9928431510925293,1.2964818477630615,31.780406951904297,50.58600616455078
Wine Quality,0,lmjgp_transductive,13.0,0.023061849125013235,-0.005977227673617749,-0.029039076798630985,0.699999988079071,0.5,-0.19999998807907104,0.6000000238418579,13,,2246093.5,0.9999999403953552,27.024282455444336,2.9326584339141846,1.090758204460144,29.212486267089844,33.59894561767578
Wine Quality,0,lmjgp_transductive,14.0,-0.10648815873263975,-0.0672707382826373,0.039217420450002455,0.6000000238418579,0.6000000238418579,0.0,0.6000000238418579,14,,14390663.0,1.0,26.9860897064209,2.9342024326324463,1.083420753479004,30.828560829162598,41.99910354614258
