benchmark,train_size,dataset,subset,seed,method,status,n_train,n_test,Q,n_final,n_candidate,n_vem,standardize_x,standardize_y,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,best_loss,gamma_mean,gamma_entropy,kl_coeff,C_std_median
pdebench,,PDEBench-Burgers,all,0,vem_em_learned_qw,ok,1600,10,3,10,30,20,,,raw,10,0,0.20339518966521972,0.12027895450592041,3.477782500034664,0.6,0.21970529792777732,0.6,0.26179500965637625,0.36861730000237003,3.109165200032294,50.699073791503906,0.6802850365638733,0.6196918487548828,74.93950653076172,0.0502593033015728
pdebench,,PDEBench-Burgers,near_threshold,0,vem_em_learned_qw,ok,1600,6,3,10,30,20,,,raw,6,0,0.24283433068788152,0.1507372111082077,3.477782500034664,0.5,0.1908474875167335,0.5,0.22740880765543692,0.36861730000237003,3.109165200032294,50.699073791503906,0.6802850365638733,0.6196918487548828,74.93950653076172,0.0502593033015728
pdebench,,PDEBench-Burgers,far_from_threshold,0,vem_em_learned_qw,ok,1600,4,3,10,30,20,,,raw,4,0,0.12235701739757177,0.07459154725074768,3.477782500034664,0.75,0.2629920135443431,0.75,0.31337431265778526,0.36861730000237003,3.109165200032294,50.699073791503906,0.6802850365638733,0.6196918487548828,74.93950653076172,0.0502593033015728
