dataset,seed,method,split_type,n,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Parkinsons Telemonitoring,4,lmjgp_supervised,subject_grouped,25,9.936741484662539,6.40386962890625,225.59520229999907,0.56,19.910534905816856,0.685,23.72486565911311
Appliances Energy Prediction,0,xgb_bootstrap,random_row,35,103.25991124490987,41.900306701660156,12.93778019999445,0.865,123.5756949164965,0.9,147.24952265189506
Appliances Energy Prediction,0,dkl_svgp,random_row,35,105.86819606177424,46.41458511352539,1.441989900005865,0.47,36.924322249371045,0.52,43.998043702191005
Appliances Energy Prediction,0,lmjgp_transductive,random_row,35,108.17181976176013,42.02265930175781,222.27191270000185,0.865,140.12635717241776,0.885,166.97085311581796
Appliances Energy Prediction,0,lmjgp_supervised,random_row,35,107.50722342999093,42.51959991455078,218.72394219999842,0.835,126.94201869031662,0.855,151.2607448353648
Appliances Energy Prediction,1,xgb_bootstrap,random_row,35,108.08012831323249,47.474552154541016,12.05311699998856,0.86,184.52558486210125,0.885,219.8757960160901
Appliances Energy Prediction,1,dkl_svgp,random_row,35,127.2326751615905,59.16579055786133,1.6235974000010174,0.5,51.19611519194711,0.56,61.00393389444167
Appliances Energy Prediction,1,lmjgp_transductive,random_row,35,122.1217318143325,51.3575553894043,227.67444639999303,0.8,168.59391395392086,0.855,200.89203923558517
Appliances Energy Prediction,1,lmjgp_supervised,random_row,35,123.41648201036169,53.51145935058594,223.63104079999903,0.8,181.68829040281045,0.84,216.49495114173394
Appliances Energy Prediction,2,xgb_bootstrap,random_row,35,105.26541817642494,46.527767181396484,12.093244600007893,0.905,189.9371814108317,0.905,226.3241110275789
Appliances Energy Prediction,2,dkl_svgp,random_row,35,126.28496855814089,66.21959686279297,1.66369780000241,0.435,47.96707934699205,0.495,57.15630036815011
Appliances Energy Prediction,2,lmjgp_transductive,random_row,35,109.66240766737582,46.092742919921875,228.44231719999516,0.805,158.70639318030578,0.855,189.1103315534287
Appliances Energy Prediction,2,lmjgp_supervised,random_row,35,100.49938704273289,42.794185638427734,224.45678269999917,0.835,164.36543109335318,0.86,195.85349113613043
Appliances Energy Prediction,3,xgb_bootstrap,random_row,35,109.80361164739253,48.1730842590332,12.105792000002111,0.85,177.95917660419093,0.865,212.0514379805709
Appliances Energy Prediction,3,dkl_svgp,random_row,35,123.58548375137276,60.4993896484375,1.6499361000023782,0.49,44.7877047549254,0.54,53.36784187451407
Appliances Energy Prediction,3,lmjgp_transductive,random_row,35,106.59487540560256,45.67610168457031,202.19036870000127,0.78,142.9366697500867,0.82,170.31954709519633
Appliances Energy Prediction,3,lmjgp_supervised,random_row,35,108.56236111079131,46.754798889160156,206.15372570000181,0.81,173.31727452094646,0.85,206.52027049317414
Appliances Energy Prediction,4,xgb_bootstrap,random_row,35,93.60234134251428,40.89268112182617,12.083930900000269,0.925,172.48607287531857,0.94,205.52983264349118
Appliances Energy Prediction,4,dkl_svgp,random_row,35,115.05348613258109,55.6435546875,1.578805299999658,0.5,50.00662235893213,0.53,59.58656576248287
Appliances Energy Prediction,4,lmjgp_transductive,random_row,35,97.00116901143922,40.01850509643555,228.09916820000217,0.875,183.50310418189292,0.915,218.65743513870882
Appliances Energy Prediction,4,lmjgp_supervised,random_row,35,94.70602510915319,39.3143424987793,228.9168689999933,0.88,167.69261401755364,0.9,199.81807412063327
