dataset,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
Wine Quality,0,lmjgp_transductive,0.0,-0.24843026330090118,-0.2374491181954171,0.010981145105484064,0.4000000059604645,0.4000000059604645,0.0,0.3333333432674408,0,,nan,nan,33.33000183105469,3.000000238418579,1.0003153085708618,10.31366777420044,48.9998779296875
Wine Quality,0,lmjgp_transductive,1.0,-0.04167662122754642,-0.16497852898961296,-0.12330190776206654,0.6000000238418579,0.699999988079071,0.09999996423721313,0.5833333134651184,1,,2729.23583984375,nan,33.33000183105469,3.000000238418579,1.001839280128479,9.137716293334961,48.999847412109375
Wine Quality,0,lmjgp_transductive,2.0,0.0794440193552464,-0.05272950833124093,-0.13217352768648732,0.4000000059604645,0.6500000059604645,0.25,0.5833333134651184,2,,19890640.0,0.9999999403953552,33.33000183105469,3.000000238418579,1.0369458198547363,16.83609390258789,48.999847412109375
Wine Quality,0,lmjgp_transductive,3.0,-0.06348407437195118,-0.07893125017144226,-0.015447175799491078,0.30000001192092896,0.4000000059604645,0.09999999403953552,0.3333333432674408,3,,784940.0,nan,33.33000183105469,2.999998092651367,1.0000407695770264,9.37636137008667,48.999847412109375
Wine Quality,0,lmjgp_transductive,4.0,0.28674750587299364,0.04740085316908676,-0.23934665270390687,0.4000000059604645,0.3500000089406967,-0.04999999701976776,0.3333333432674408,4,,269516.6875,nan,33.33000183105469,3.000000238418579,1.0005439519882202,14.949923515319824,48.999847412109375
Wine Quality,0,lmjgp_transductive,5.0,-0.03517272185097746,-0.06032823702733875,-0.02515551517636129,0.30000001192092896,0.30000001192092896,0.0,0.25,5,,142000432.0,0.9999998807907104,33.33000183105469,3.000000238418579,1.0054359436035156,8.488556385040283,48.99960708618164
Wine Quality,0,lmjgp_transductive,6.0,-0.05770518011104838,-0.0286746122241031,0.02903056788694528,1.5,1.600000023841858,0.10000002384185791,1.5833333730697632,6,,5824.734375,nan,33.33000183105469,3.000000238418579,1.0004808902740479,16.514586925506592,48.999847412109375
Wine Quality,0,lmjgp_transductive,7.0,-0.1384035907318416,-0.01214884424312732,0.1262547464887143,0.8999999761581421,0.949999988079071,0.050000011920928955,1.0,7,,35482.96875,nan,33.33000183105469,3.000000238418579,1.0369457006454468,12.880083560943604,48.999847412109375
Wine Quality,0,lmjgp_supervised,0.0,-0.24843026330090118,-0.23746561530833052,0.010964647992570659,0.4000000059604645,0.4000000059604645,0.0,0.3333333432674408,0,,2.433206081390381,2.178130865097046,34.05527877807617,2.999999761581421,1.245232105255127,137.08379364013672,334.85986328125
Wine Quality,0,lmjgp_supervised,1.0,-0.04167662122754642,-0.1658304317841066,-0.12415381055656019,0.6000000238418579,0.699999988079071,0.09999996423721313,0.5833333134651184,1,,1.9487671852111816,2.2938308715820312,34.052162170410156,3.0,1.4135667085647583,161.4353790283203,334.1033020019531
