benchmark,dataset,train_size,subset,method,n_seeds,seeds,rmse_mean,mean_crps_mean,coverage_90_mean,mean_width_90_mean,coverage_95_mean,mean_width_95_mean,wall_sec_mean,rmse_std,mean_crps_std,coverage_90_std,mean_width_90_std,coverage_95_std,mean_width_95_std,wall_sec_std,source
pdebench_burgers,PDEBench Burgers ShockJump,200,all,dkl_svgp,5,"0,1,2,3,4",0.9225292921066284,0.47055206298828123,0.7,1.4413722952006232,0.7390000000000001,1.7175010229590497,0.7615701799993986,0.04647748999534639,0.04257750497135642,0.08618294494852216,0.31159394811320984,0.06619289992136619,0.3712870896812947,0.16032191942237783,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,far_from_threshold,dkl_svgp,5,"0,1,2,3,4",0.7097043871879578,0.3481017529964447,0.7551020408163265,1.4197804207826903,0.7965986394557824,1.6917727177017032,0.7615701799993986,0.05424800425536799,0.06685837070083733,0.10641421604496042,0.35105911787246774,0.08763108887556276,0.41831273993034634,0.16032191942237783,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,near_threshold,dkl_svgp,5,"0,1,2,3,4",1.341154432296753,0.8101783871650696,0.5471698113207547,1.501259192171117,0.5792452830188679,1.7888606620690477,0.7615701799993986,0.12586596759206337,0.06200656907944424,0.06370544534390238,0.2039667393118424,0.057415562470577115,0.2430413603648125,0.16032191942237783,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,all,lmjgp_predict_vi,5,"0,1,2,3,4",0.8866100907325745,0.3517411291599274,0.8234999999999999,1.345220836113155,0.8675,1.6029294928334856,593.7120631800033,0.029305142176420804,0.010446467409216613,0.018343936327844142,0.2158849217136666,0.018234582528810453,0.2572427506198513,8.439915333452436,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,far_from_threshold,lmjgp_predict_vi,5,"0,1,2,3,4",0.6899495244026184,0.22104865908622742,0.8823129251700681,0.9011141812246095,0.9183673469387756,1.0737437740474647,593.7120631800033,0.024911284632583106,0.009997825590733145,0.01781741612749498,0.20746719175495498,0.01505846504842087,0.24721240671549052,8.439915333452436,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,near_threshold,lmjgp_predict_vi,5,"0,1,2,3,4",1.2821435928344727,0.7142277956008911,0.660377358490566,2.576988350615347,0.7264150943396226,3.07067101474943,593.7120631800033,0.060388813987188365,0.042981195184092186,0.05565238190095329,0.3270783933769476,0.0536990546066329,0.3897379442377309,8.439915333452436,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,all,xgb_bootstrap,5,"0,1,2,3,4",0.8308548022044311,0.38129852414131166,0.9175000000000001,1.9603662135332989,0.9410000000000001,2.335920419955873,1.482056660001399,0.030604958448435436,0.029394642242704865,0.013228756555322964,0.13370811439818694,0.00888819441731558,0.1593230451434812,0.38280050127270576,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,far_from_threshold,xgb_bootstrap,5,"0,1,2,3,4",0.7002007254015636,0.3081132173538208,0.9496598639455783,1.8663325639319581,0.9659863945578231,2.2238724154808067,1.482056660001399,0.03438745210971498,0.034015567321424856,0.014171882078911298,0.1617593332893038,0.00745200758510431,0.19274813406822378,0.38280050127270576,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,200,near_threshold,xgb_bootstrap,5,"0,1,2,3,4",1.1142798439590484,0.5842842102050781,0.8283018867924529,2.2211765246917343,0.8716981132075471,2.6466950738772823,1.482056660001399,0.06147459542080475,0.04144418874245365,0.031231972372163855,0.13651979281122428,0.02117919275532419,0.16267336661608267,0.38280050127270576,compare_burgers_train_sizes
pdebench_burgers,PDEBench Burgers ShockJump,500,all,dkl_svgp,5,"0,1,2,3,4",0.9363529086112976,0.509398591518402,0.6054999999999999,1.2275174197039012,0.6505000000000001,1.46267722160433,1.1231898600017303,0.03237571445227665,0.056554785848126475,0.14788847149118822,0.2661550231397877,0.14406075107398267,0.3171432710552055,0.25551222633846044,compare_burgers_train_sizes
