dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,0,xgb_bootstrap,random_row,25,raw,200,0,0.698256314247014,0.4131523072719574,5.0560016999952495,0.61,1.2391746178952223,0.7,1.4765676299915975
Wine Quality,0,dkl_svgp,random_row,25,raw,200,0,0.7804383818384943,0.5593961477279663,1.4083142000017688,0.22,0.5085814553270221,0.27,0.6060121820647194
Wine Quality,0,lmjgp_transductive,random_row,25,raw,200,0,0.7008608033954251,0.3984736204147339,44.05749760000617,0.835,2.0766669966461855,0.89,2.4745013505262903
Wine Quality,0,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7118809029892164,0.4001103639602661,44.48501989999204,0.815,1.9485721594570071,0.9,2.3218669377234793
Wine Quality,0,lmjgp_supervised,random_row,25,raw,200,0,0.7135346796163484,0.3996134102344513,44.1283742999949,0.82,2.0049663868694507,0.895,2.389064804362352
Wine Quality,0,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.6968397612006003,0.39499831199645996,53.07276819998515,0.805,1.8836693765852714,0.865,2.2445305019211115
Wine Quality,1,xgb_bootstrap,random_row,25,raw,200,0,0.713977242994686,0.42117318511009216,7.092653200001223,0.665,1.3058871362819076,0.75,1.5560604986660014
Wine Quality,1,dkl_svgp,random_row,25,raw,200,0,0.8754242176254871,0.5959826111793518,1.1226926000090316,0.24,0.5074666707957338,0.29,0.6046838343649324
Wine Quality,1,lmjgp_transductive,random_row,25,raw,200,0,0.7200541074261924,0.3981357216835022,49.63541489999625,0.875,2.1351773455119307,0.92,2.544220731400488
Wine Quality,1,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7744049689742154,0.42904895544052124,48.338850100000855,0.8,1.9425502172652533,0.85,2.314691351021157
Wine Quality,1,lmjgp_supervised,random_row,25,raw,200,0,0.7422221828043852,0.41290292143821716,47.19004790001782,0.845,2.073736594568102,0.92,2.471009561081226
Wine Quality,1,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7540671439096371,0.42639482021331787,43.64064420000068,0.795,1.9619482482915152,0.87,2.3378055306414605
Wine Quality,2,xgb_bootstrap,random_row,25,raw,200,0,0.715726138297178,0.4114200472831726,4.5496741000097245,0.68,1.2495647671513155,0.765,1.4889482564511574
Wine Quality,2,dkl_svgp,random_row,25,raw,200,0,0.8218927266987923,0.5777208209037781,1.2081826999783516,0.255,0.45081142393178014,0.3,0.5371749438660387
Wine Quality,2,lmjgp_transductive,random_row,25,raw,200,0,0.7310562836706386,0.40260183811187744,45.5516661000147,0.88,2.1051503990055362,0.895,2.508441417816629
Wine Quality,2,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7173236564172442,0.40031418204307556,44.84149680001428,0.845,1.9692770661191148,0.88,2.3465383557123287
Wine Quality,2,lmjgp_supervised,random_row,25,raw,200,0,0.7461593606660856,0.40574362874031067,45.20428360000369,0.885,2.1330723406962373,0.91,2.541712463455887
Wine Quality,2,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7134687318698791,0.3964945077896118,60.13360659999307,0.845,1.9880962395842152,0.875,2.3689627840055443
Wine Quality,3,xgb_bootstrap,random_row,25,raw,200,0,0.7193724482136524,0.4206409454345703,15.903353200003039,0.635,1.2700077990213356,0.75,1.5133076313788245
Wine Quality,3,dkl_svgp,random_row,25,raw,200,0,0.9644889244854487,0.6929866075515747,2.371139900002163,0.17,0.4830235890033015,0.215,0.5755581059722334
