dataset,method,n_seeds,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std
Appliances Energy Prediction,dkl_svgp,5,113.84303068879198,8.096678854373442,52.36993179321289,4.937978105399118,1.1425313999934588,0.04555622195143986,0.581,0.023108440016582684,58.88125083726138,8.12995658757094,0.631,0.02059126028197402,70.16133783258877,9.687440782828592
Appliances Energy Prediction,lmjgp_supervised,5,106.07415710388725,7.8570537954209,42.0757698059082,4.1942322708774356,86.36698197999503,2.336831620337753,0.8470000000000001,0.02204540768504858,156.64224524297518,26.548221477558204,0.873,0.021817424229271444,186.6507475821614,31.634157044140412
Appliances Energy Prediction,lmjgp_supervised_residual_ridge,5,104.5151746621602,8.348554134173742,45.190697479248044,3.1440474232266116,84.99025453999639,2.894428109869168,0.8090000000000002,0.03541186241925154,160.90870445123966,19.024639484014827,0.851,0.02745906043549195,191.73454729095732,22.66925615541586
Appliances Energy Prediction,lmjgp_transductive,5,105.93451713569524,9.026381534955604,42.93251953125,4.048766725596214,87.9668705799908,5.896257213577893,0.825,0.03271085446759225,151.82275448813837,19.14714926615498,0.857,0.0317175030543074,180.90797014073587,22.815235564655772
Appliances Energy Prediction,lmjgp_transductive_residual_ridge,5,103.68285465351755,7.151586266274965,44.89972839355469,2.504376936571778,84.69950583999744,1.6536801390973552,0.8140000000000001,0.02059126028197397,159.22132535035777,15.217799659013135,0.867,0.011661903789690611,189.7239110788321,18.133126721367315
Appliances Energy Prediction,xgb_bootstrap,5,98.47739760927662,9.59079837691428,43.36564178466797,4.692270826207292,7.290394479990937,1.6230306834801094,0.8800000000000001,0.022135943621178676,176.07322101155427,22.153707007100994,0.913,0.021587033144922895,209.80418328419978,26.397770079058585
Parkinsons Telemonitoring,dkl_svgp,5,7.860154359214684,1.030496153030649,4.934474849700928,0.8856780885384031,1.3731260800093879,0.45711513651121594,0.65,0.13939153489362255,15.266830753996231,0.7179994676838674,0.6990000000000001,0.1385063175454463,18.191550874565383,0.8555491349023425
Parkinsons Telemonitoring,lmjgp_supervised,5,9.885939333945457,0.5948662650052767,6.336206340789795,0.4909700054786677,95.03833999999333,6.0752942100678995,0.6049999999999999,0.06595452979136458,19.599610536958245,1.3203821636852,0.663,0.049558046773455475,23.3543764223242,1.573332389124746
Parkinsons Telemonitoring,lmjgp_supervised_residual_ridge,5,9.7853005935769,0.7270890384711621,6.30871057510376,0.5853137916361815,96.30628801999846,2.197708807677823,0.587,0.04985980344927163,18.950375217277852,1.0110842727825178,0.6699999999999999,0.0459347363114234,22.58076482356858,1.204781220357837
Parkinsons Telemonitoring,lmjgp_transductive,5,9.900868394575879,0.5436064233215423,6.3286792755126955,0.4597699763851542,126.33756379999105,67.90477118446763,0.608,0.03969886648255842,19.83736730736086,1.0395901423351086,0.6900000000000001,0.03937003937005904,23.637681088121944,1.238748058960138
Parkinsons Telemonitoring,lmjgp_transductive_residual_ridge,5,9.826889566342697,0.5942929343651713,6.3186286926269535,0.4875638125693422,98.03151256000274,4.665389440691259,0.5890000000000001,0.05247856705360771,19.097788796913285,1.013168664091573,0.6719999999999999,0.047602520941647616,22.75641893782132,1.2072649257942916
Parkinsons Telemonitoring,xgb_bootstrap,5,9.532710521114138,0.7271357670060977,7.0371496200561525,0.6295335006907614,8.980325419997097,4.450396325530038,0.246,0.07045565981523413,7.866231046083276,0.34188730525734573,0.288,0.06546754921333163,9.37319241771591,0.4073838511197921
Wine Quality,dkl_svgp,5,0.8516540987075192,0.0640678986153277,0.5979931592941284,0.0491776958132785,1.6657238000014332,0.5241044327294551,0.22400000000000003,0.02922327839240491,0.48607117857743914,0.021205471492755427,0.272,0.03009983388658482,0.5791895329315067,0.02526787777342916
Wine Quality,lmjgp_supervised,5,0.7560767937006219,0.029346669660267322,0.4227560579776764,0.021136976909662077,71.89318038001075,32.61127341618748,0.827,0.03586084215408221,2.0564473250191537,0.07231750379263342,0.889,0.02956349099818899,2.4504081257439383,0.08617162072232347
Wine Quality,lmjgp_supervised_residual_ridge,5,0.736612488813131,0.02639251692400916,0.4162395536899567,0.016850636157998335,81.18020053999498,35.781238116519354,0.8019999999999999,0.02561249694973138,1.930706528344757,0.04175393235845313,0.86,0.014142135623730963,2.300578725223996,0.04975287909791879
Wine Quality,lmjgp_transductive,5,0.7401003544579923,0.03071035166407202,0.4157945394515991,0.01997477167517319,75.59788838000387,36.66060439545828,0.844,0.03104834939252004,2.0718484509163497,0.059402360625064175,0.8859999999999999,0.027820855486487137,2.468759699151608,0.07078227844356463
Wine Quality,lmjgp_transductive_residual_ridge,5,0.7464913548853952,0.026638976365561583,0.41796172261238096,0.014755467218994482,74.55695178000606,35.140247499250926,0.8089999999999999,0.020346989949375775,1.9311279349490271,0.03776811624885945,0.865,0.02408318915758461,2.3010808621641368,0.04500348626697003
Wine Quality,xgb_bootstrap,5,0.7201957579877588,0.01821881654116885,0.41994212865829467,0.007743514766942765,9.372351360006723,4.767178149541923,0.6519999999999999,0.025806975801127903,1.2645553857246086,0.023013335917892414,0.738,0.022934689882359447,1.5068106802122831,0.027422081104437532
