train_size,dataset,seed,method,split_type,standardize_x,standardize_y,cal_frac,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,interval_score_90,interval_score_95,qhat_90,qhat_95,cal_coverage_before_90,cal_coverage_before_95,cal_score_mean_90,cal_score_mean_95,n_fit,n_cal,x_scaler_fit,y_scaler_fit,mean_model_train_rows
200,Wine Quality,0,xgb_cqr,random_row,True,False,0.2,0.7548440266633146,nan,1.740918800001964,0.945,3.8332524061203004,0.99,4.378241770267486,4.212356400489807,4.62545351266861,1.0,1.2294702529907227,0.675,0.775,-0.26367982625961306,-0.38229013681411744,160,40,proper_train,none,200
200,Wine Quality,1,xgb_cqr,random_row,True,False,0.2,0.7982299709650233,nan,1.6995781000005081,0.975,3.907661330699921,0.99,5.967555432319641,4.097707116603852,6.130302052497864,1.0499610900878906,1.5625133514404297,0.675,0.725,-0.3599142551422119,-0.4411148548126221,160,40,proper_train,none,200
200,Wine Quality,2,xgb_cqr,random_row,True,False,0.2,0.756124747160741,nan,1.6408587000041734,0.975,3.6547107028961183,0.985,5.007918853759765,3.9491250801086424,5.242851371765137,1.0924296379089355,1.0585508346557617,0.475,0.625,-0.023814713954925536,-0.24919748306274414,160,40,proper_train,none,200
200,Wine Quality,3,xgb_cqr,random_row,True,False,0.2,0.7312682100342428,nan,1.594136100000469,0.945,3.5718969964981078,1.0,5.466496777534485,3.7353062772750856,5.466496777534485,0.9290180206298828,1.2513446807861328,0.55,0.9,-0.15685136318206788,-0.6021172761917114,160,40,proper_train,none,200
200,Wine Quality,4,xgb_cqr,random_row,True,False,0.2,0.8107678738238723,nan,1.9229569000017364,0.96,3.9970653653144836,0.995,4.656520149707794,4.0429948449134825,4.66533982515335,1.0981454849243164,1.4013714790344238,0.6,0.6,-0.21998920440673828,-0.2735346555709839,160,40,proper_train,none,200
200,Parkinsons Telemonitoring,0,xgb_cqr,subject_grouped,False,False,0.2,8.25050303589685,nan,1.9233096000098158,0.92,24.504790472984315,0.95,26.665203778743745,28.591853954124453,33.25431344579696,4.636751174926758,2.7327930297851566,0.725,0.85,-1.5188932622909546,-3.8545728513717648,160,40,none,none,200
200,Parkinsons Telemonitoring,1,xgb_cqr,subject_grouped,False,False,0.2,10.069786763810873,nan,1.9958202999841888,0.995,27.419709074497224,0.985,30.860101020336153,27.44539566202164,32.23871679182052,5.9858421615600585,4.585770063781738,0.525,0.675,-0.8820748710632327,-3.0498168272972106,160,40,none,none,200
200,Parkinsons Telemonitoring,2,xgb_cqr,subject_grouped,False,False,0.2,10.736747064916887,nan,1.8778980000060983,0.675,20.571987688541412,0.82,28.97535490512848,51.74414413629532,52.21521267063139,3.6374888687133797,6.057539337158204,0.675,0.825,-1.36959994102478,-3.495797903785706,160,40,none,none,200
200,Parkinsons Telemonitoring,3,xgb_cqr,subject_grouped,False,False,0.2,9.68666837109818,nan,1.8848523999913596,0.68,20.36279471874237,0.845,27.331075263023376,45.86762597393036,52.01521055049894,3.6645312347412116,3.216936676025391,0.675,0.825,-1.1896733666610717,-4.189234484596253,160,40,none,none,200
200,Parkinsons Telemonitoring,4,xgb_cqr,subject_grouped,False,False,0.2,10.319264624161864,nan,1.9961211999761872,0.885,25.65776008605957,0.995,37.55309611320496,29.11924164367676,38.792983541488645,6.047161346435544,9.416913314819336,0.6,0.775,-0.8759983263778686,-3.0902186615753173,160,40,none,none,200
200,Appliances Energy Prediction,0,xgb_cqr,random_row,True,True,0.2,102.84535738495117,nan,1.9769077000091784,0.925,288.5934463237735,0.92,265.18473238298316,562.20616458141,784.4358643254695,1.2943847887526485,0.6721114018070681,0.775,0.825,-0.017071693796785286,-0.2880921563079663,160,40,proper_train,proper_train,200
200,Appliances Energy Prediction,1,xgb_cqr,random_row,True,True,0.2,104.79616930521617,nan,1.931170600000769,0.935,403.81680006739407,0.975,574.7668986319811,581.1191875649454,735.6984162355022,1.410222621785014,1.916406037108481,0.625,0.775,0.10514962070810634,-0.0524388450532748,160,40,proper_train,proper_train,200
200,Appliances Energy Prediction,2,xgb_cqr,random_row,True,True,0.2,115.96614216745203,nan,1.8385589999961667,0.825,125.5262702360404,0.87,255.95149825968798,571.7117500591949,725.6451385238147,0.090968160728372,0.13270457251973367,0.85,0.85,-0.15747590104243184,-0.26434705953281595,160,40,proper_train,proper_train,200
200,Appliances Energy Prediction,3,xgb_cqr,random_row,True,True,0.2,120.79048801788423,nan,1.9749558000185061,0.86,170.80016286034228,0.96,583.1370734473521,608.8301669390396,816.8710737366541,0.39277592212805046,2.130229068590638,0.675,0.75,-0.04316609205792708,-0.15395792940019454,160,40,proper_train,proper_train,200
200,Appliances Energy Prediction,4,xgb_cqr,random_row,True,True,0.2,94.86416997506582,nan,1.9500107000058051,0.955,359.62160777958496,0.975,724.5561694609726,485.87639144219196,781.1137246084344,1.1545836525356328,2.6033685999309575,0.65,0.725,0.07449197285481297,0.03793860778072635,160,40,proper_train,proper_train,200
500,Wine Quality,0,xgb_cqr,random_row,True,False,0.2,0.7281668824949217,nan,1.9372139000042807,0.92,2.744907900094986,0.96,3.5629382145404818,3.315689035654068,3.9517093670368193,0.5236878395080566,0.7242116928100586,0.68,0.82,-0.24723946094512939,-0.45455299377441405,400,100,proper_train,none,500
500,Wine Quality,1,xgb_cqr,random_row,True,False,0.2,0.729452674863014,nan,2.029335200000787,0.94,3.3527820324897766,0.995,4.51415867805481,3.698428699970245,4.624119806289673,0.9095363616943359,1.307323932647705,0.71,0.76,-0.1770661449432373,-0.3012793970108032,400,100,proper_train,none,500
500,Wine Quality,2,xgb_cqr,random_row,True,False,0.2,0.7429012913634517,nan,2.0339076000091154,0.915,2.894931378364563,0.975,3.94335369348526,3.5466839933395384,4.078979532718659,0.6867198944091797,0.9743680953979492,0.71,0.78,-0.10709317684173585,-0.3102762269973755,400,100,proper_train,none,500
